symbol,trading_date,open,raw_open_text,high,low,close,source,fetched_at,valid_numeric,valid_positive,within_hl_range,validation_flags,in_db,db_open,db_high,db_low,db_close,comparison_flags
KSE-MIALL,2018-12-14,18724.24,"18,724.24",18935.91,18700.17,18919.89,ksestocks.com/MarketSummary,2026-07-03T15:33:04.733007+00:00,1,1,1,,1,,18935.91,18700.17,18919.89,
KSE-100,2018-12-17,38542.41,"38,542.41",38579.36,38203.63,38309.17,ksestocks.com/MarketSummary,2026-07-03T15:33:09.455236+00:00,1,1,1,,1,,38579.36,38203.63,38309.17,
KSE-30,2018-12-17,18377.41,"18,377.41",18387.43,18161.98,18215.75,ksestocks.com/MarketSummary,2026-07-03T15:33:09.455236+00:00,1,1,1,,1,,18387.43,18161.98,18215.75,
KSE-ALL,2018-12-17,28322.21,"28,322.21",28356.61,28117.31,28182.47,ksestocks.com/MarketSummary,2026-07-03T15:33:09.455236+00:00,1,1,1,,1,,28356.61,28117.31,28182.47,
KSE-MI30,2018-12-17,65087.26,"65,087.26",65263.21,64446.76,64680.64,ksestocks.com/MarketSummary,2026-07-03T15:33:09.455236+00:00,1,1,1,,1,,65263.21,64446.76,64680.64,
KSE-MIALL,2018-12-17,18923.71,"18,923.71",18980.01,18791.01,18838.38,ksestocks.com/MarketSummary,2026-07-03T15:33:09.455236+00:00,1,1,1,,1,,18980.01,18791.01,18838.38,
KSE-100,2018-12-18,38245.98,"38,245.98",38323.44,37978.58,38115.81,ksestocks.com/MarketSummary,2026-07-03T15:33:14.050661+00:00,1,1,1,,1,,38323.44,37978.58,38115.81,
KSE-30,2018-12-18,18168.18,"18,168.18",18197.45,18011.05,18063.89,ksestocks.com/MarketSummary,2026-07-03T15:33:14.050661+00:00,1,1,1,,1,,18197.45,18011.05,18063.89,
KSE-ALL,2018-12-18,28144.47,"28,144.47",28204.16,27976.82,28177.64,ksestocks.com/MarketSummary,2026-07-03T15:33:14.050661+00:00,1,1,1,,1,,28204.16,27976.82,28177.64,
KSE-MI30,2018-12-18,64453.47,"64,453.47",64706.85,63992.9,64271.5,ksestocks.com/MarketSummary,2026-07-03T15:33:14.050661+00:00,1,1,1,,1,,64706.85,63992.9,64271.5,
KSE-MIALL,2018-12-18,18791.02,"18,791.02",18864.94,18689.56,18750.38,ksestocks.com/MarketSummary,2026-07-03T15:33:14.050661+00:00,1,1,1,,1,,18864.94,18689.56,18750.38,
KSE-100,2018-12-19,38051.78,"38,051.78",38179.27,37859.18,38063.15,ksestocks.com/MarketSummary,2026-07-03T15:33:19.028358+00:00,1,1,1,,1,,38179.27,37859.18,38063.15,
KSE-30,2018-12-19,18016.69,"18,016.69",18084.21,17901.91,18018.98,ksestocks.com/MarketSummary,2026-07-03T15:33:19.028358+00:00,1,1,1,,1,,18084.21,17901.91,18018.98,
KSE-ALL,2018-12-19,28124.54,"28,124.54",28158.91,27953.56,28103.77,ksestocks.com/MarketSummary,2026-07-03T15:33:19.028358+00:00,1,1,1,,1,,28158.91,27953.56,28103.77,
KSE-MI30,2018-12-19,64006.81,"64,006.81",64006.81,63566.4,63847.7,ksestocks.com/MarketSummary,2026-07-03T15:33:19.028358+00:00,1,1,1,,1,,64006.81,63566.4,63847.7,
KSE-MIALL,2018-12-19,18679.31,"18,679.31",18679.31,18529.7,18595.36,ksestocks.com/MarketSummary,2026-07-03T15:33:19.028358+00:00,1,1,1,,1,,18679.31,18529.7,18595.36,
KSE-100,2018-12-20,38069.42,"38,069.42",38379.69,38014.48,38236.52,ksestocks.com/MarketSummary,2026-07-03T15:33:23.733204+00:00,1,1,1,,1,,38379.69,38014.48,38236.52,
KSE-30,2018-12-20,18028.05,"18,028.05",18176.5,17973.39,18084.87,ksestocks.com/MarketSummary,2026-07-03T15:33:23.733204+00:00,1,1,1,,1,,18176.5,17973.39,18084.87,
KSE-ALL,2018-12-20,28102.16,"28,102.16",28363.14,28098.87,28288.99,ksestocks.com/MarketSummary,2026-07-03T15:33:23.733204+00:00,1,1,1,,1,,28363.14,28098.87,28288.99,
KSE-MI30,2018-12-20,63886.35,"63,886.35",64529.03,63776.65,64301.81,ksestocks.com/MarketSummary,2026-07-03T15:33:23.733204+00:00,1,1,1,,1,,64529.03,63776.65,64301.81,
KSE-MIALL,2018-12-20,18591.1,"18,591.10",18726.96,18585.24,18674.68,ksestocks.com/MarketSummary,2026-07-03T15:33:23.733204+00:00,1,1,1,,1,,18726.96,18585.24,18674.68,
KSE-100,2018-12-21,38241.05,"38,241.05",38487.37,37845.42,38251.04,ksestocks.com/MarketSummary,2026-07-03T15:33:28.352898+00:00,1,1,1,,1,,38487.37,37845.42,38251.04,
KSE-30,2018-12-21,18088.97,"18,088.97",18237.72,17871.09,18058.74,ksestocks.com/MarketSummary,2026-07-03T15:33:28.352898+00:00,1,1,1,,1,,18237.72,17871.09,18058.74,
KSE-ALL,2018-12-21,28284.29,"28,284.29",28433.62,28053.31,28384.1,ksestocks.com/MarketSummary,2026-07-03T15:33:28.352898+00:00,1,1,1,,1,,28433.62,28053.31,28384.1,
KSE-MI30,2018-12-21,64288.66,"64,288.66",64889.8,63506.1,64159.82,ksestocks.com/MarketSummary,2026-07-03T15:33:28.352898+00:00,1,1,1,,1,,64889.8,63506.1,64159.82,
KSE-MIALL,2018-12-21,18666.55,"18,666.55",18793.88,18473.47,18635.18,ksestocks.com/MarketSummary,2026-07-03T15:33:28.352898+00:00,1,1,1,,1,,18793.88,18473.47,18635.18,
