date,breadth,dispersion,participation,mkt_ret,n_stocks,avg_correlation,regime,volatility_level,trend_persistence
2007-01-23,42.5531914893617,5.366452483059755,2.43161094224924,0.027119434199316526,329,0.12053670542252161,RANGING,1.1037829789301024,4.0
2007-01-24,42.04204204204204,5.969450906012879,2.1021021021021022,0.3233802595642088,333,0.09506226594072538,TRENDING_UP,1.0440979520555898,0.0
2007-01-25,44.20062695924764,3.9226988470442468,2.507836990595611,0.12306334598069305,319,0.0934111495399058,TRENDING_UP,1.0353292696635332,1.0
2007-01-26,46.48829431438127,5.298177731755415,1.3377926421404682,0.18600191416252204,299,0.08954190468717153,TRENDING_UP,0.9946070989271829,2.0
2007-01-31,45.3968253968254,5.212431972418456,1.2698412698412698,0.19945759166506496,315,0.09085971730580827,TRENDING_UP,1.0074980061797343,3.0
2007-02-01,47.452229299363054,5.090602512906533,1.5923566878980893,-0.36135057022332956,314,0.08079515340707216,TRENDING_UP,1.0239438804013181,4.0
2007-02-02,52.39616613418531,5.276415377656092,2.5559105431309903,0.6374743444827359,313,0.08893700780993992,TRENDING_UP,1.0865091581792017,5.0
2007-02-06,51.28939828080229,6.91969690176975,2.5787965616045847,0.5741038313982809,349,0.09949619530485847,TRENDING_UP,1.1023861678604958,6.0
2007-02-07,51.651651651651655,5.053967671151135,2.4024024024024024,0.5772211779650791,333,0.08232864152244765,TRENDING_UP,1.1086597294697853,7.0
2007-02-08,56.49717514124294,8.169758713889836,3.1073446327683616,1.2418393107694925,354,0.0926053357355866,TRENDING_UP,1.106880456792693,8.0
2007-02-09,54.769230769230774,6.394636187024751,3.6923076923076925,0.12111723128839193,325,0.08899205352762905,TRENDING_UP,1.1329587619727048,9.0
2007-02-12,52.8023598820059,5.824305484991273,1.7699115044247788,-0.8249712723886814,339,0.11195005029415678,TRENDING_UP,1.2600958748038429,10.0
2007-02-13,49.839228295819936,5.0167361800740045,1.929260450160772,-0.6073737165612626,311,0.14138828160585043,TRENDING_UP,1.2987727948482972,11.0
2007-02-14,49.84423676012461,7.753807235151572,0.0,-0.29305087456495194,321,0.1603538103880061,TRENDING_UP,1.477468755347121,12.0
2007-02-15,45.17133956386293,7.904052195003174,0.9345794392523363,0.06728545423745944,321,0.16487853388857432,TRENDING_UP,1.4872828297273428,13.0
2007-02-16,48.25174825174825,5.264062876933817,0.6993006993006993,-0.2003275775832919,286,0.17742916527262065,TRENDING_UP,1.5236436015958645,14.0
2007-02-19,49.839228295819936,5.707987687818081,0.964630225080386,0.3767858605144534,311,0.17800486482898578,TRENDING_UP,1.572320552507565,15.0
2007-02-20,45.1219512195122,6.145734222769639,1.524390243902439,-0.5276748062242709,328,0.17772340054159377,TRENDING_UP,1.649005773267103,16.0
2007-02-21,44.479495268138805,5.788815587618076,0.9463722397476341,-0.5543792511519067,317,0.1844757517172723,TRENDING_UP,1.6702486498122484,17.0
2007-02-22,44.61538461538462,5.444801302319725,1.8461538461538463,-0.11597954427064634,325,0.17347251925247245,TRENDING_UP,1.6781888212575948,18.0
2007-02-23,43.91025641025641,5.3826097542647515,1.9230769230769231,0.005634240831372974,312,0.17423241094040745,TRENDING_UP,1.6709353333609005,19.0
2007-02-26,39.40298507462687,6.559195045036266,1.791044776119403,-1.2039580987350564,335,0.18542094403637288,TRENDING_UP,1.738450250439487,20.0
2007-02-27,37.03703703703704,5.892567549250143,0.9259259259259258,-1.2125014583293787,324,0.19032906657343726,VOLATILE,1.711198545725608,0.0
2007-02-28,32.49211356466877,19.94725722573888,0.9463722397476341,0.4677318420777497,317,0.17819319039748321,VOLATILE,1.8015611848690118,1.0
2007-03-01,34.01162790697674,5.9096063964577965,0.5813953488372093,0.008308549014681676,344,0.1661726023335136,VOLATILE,1.7904823341622214,2.0
2007-03-02,33.01282051282051,7.343114809056829,0.641025641025641,0.20620281519577516,312,0.18038956080382204,VOLATILE,1.825411938006081,3.0
2007-03-05,29.666666666666668,7.858633938194985,0.6666666666666667,-1.481289291277709,300,0.20988833058916553,VOLATILE,1.8819445654976155,4.0
2007-03-06,30.275229357798167,17.65851777555384,0.6116207951070336,1.5504444718405437,327,0.17773040855736924,VOLATILE,1.8854850373950707,5.0
2007-03-07,37.160120845921455,7.210664665817321,0.906344410876133,1.562608330320007,331,0.19156807802008166,VOLATILE,1.8784445379485715,6.0
2007-03-08,37.93103448275862,6.754960123993454,2.0114942528735633,1.3900526523958192,348,0.1994947295263131,VOLATILE,1.8370204548616764,7.0
2007-03-09,43.08176100628931,5.660005010561995,1.8867924528301887,0.844716709798295,318,0.22363613410345987,VOLATILE,1.7918369385409096,8.0
2007-03-12,39.16913946587537,7.084156624903855,1.7804154302670623,-0.18934646539853245,337,0.19794228733474178,VOLATILE,1.7135538886751023,9.0
2007-03-13,41.36904761904761,6.320664264868837,0.8928571428571428,0.3427321513430571,336,0.2005128083244045,VOLATILE,1.685697876799113,10.0
2007-03-14,38.67924528301887,5.058817911789376,0.9433962264150944,-0.7932800417878754,318,0.2193526434847123,VOLATILE,1.5555891549448186,11.0
2007-03-15,42.15384615384615,6.6473726744791355,0.9230769230769231,0.4264439005054533,325,0.20508194091736895,VOLATILE,1.5188181311831992,12.0
2007-03-16,44.370860927152314,5.741271098207093,0.9933774834437087,0.38330381171113226,302,0.2223861417971779,VOLATILE,1.5001499028928218,13.0
2007-03-19,34.63855421686747,5.66603698332532,0.9036144578313252,-1.988342140398769,332,0.2426546619064405,VOLATILE,1.5625928415829797,14.0
2007-03-20,36.5625,5.019127704383304,0.0,0.5361199090855073,320,0.24170599771851337,VOLATILE,1.5323681644287783,15.0
2007-03-21,36.392405063291136,6.108411766337486,0.6329113924050633,0.07907985504344522,316,0.239202046689729,VOLATILE,1.5533008988529349,16.0
2007-03-22,34.5679012345679,6.0954853235637385,1.2345679012345678,0.24607017869044226,324,0.22917463990057477,VOLATILE,1.5426853345468559,17.0
2007-03-26,34.6875,6.661429048252799,1.5625,0.29977650184439486,320,0.24537968772352642,VOLATILE,1.5425620397783721,18.0
2007-03-27,35.01483679525222,5.913526675287791,1.483679525222552,-0.1474377348798321,337,0.23413971796660746,RANGING,1.4895303602339987,0.0
2007-03-28,33.126934984520126,5.3304504582746395,0.30959752321981426,0.13898747262368555,323,0.22115034271696046,VOLATILE,1.5078523638098733,0.0
2007-03-29,33.12101910828025,5.498512883971652,0.9554140127388535,0.25904280048003897,314,0.2381642662707415,RANGING,1.4674584792955712,0.0
2007-03-30,38.297872340425535,7.826552254532638,0.60790273556231,1.2065991438486843,329,0.23873846519833383,RANGING,1.4198662300527294,1.0
2007-04-02,35.333333333333336,7.323684506894525,1.3333333333333335,-0.4838885492511232,300,0.23871516088424427,RANGING,1.3561953122020953,2.0
2007-04-03,38.741721854304636,5.555858868328286,1.3245033112582782,0.9306245659038912,302,0.22430441440092394,TRENDING_UP,1.2849894251071965,0.0
2007-04-04,37.096774193548384,8.158352670809483,1.6129032258064515,0.09855528230546878,310,0.24346703926208724,TRENDING_UP,1.2466994776983729,1.0
2007-04-05,40.7185628742515,17.6006569924301,2.694610778443114,2.4195839184597983,334,0.22430373058389172,TRENDING_UP,1.214574235431287,2.0
2007-04-06,44.89164086687307,6.883705984573558,1.5479876160990713,1.0816287256046035,323,0.21697852192278533,TRENDING_UP,1.1881844326008733,3.0
2007-04-09,48.328267477203646,12.04214862734372,1.5197568389057752,1.4039408651400693,329,0.20683096593337616,TRENDING_UP,1.1487686045326617,4.0
2007-04-10,52.38095238095239,5.613547991862865,2.976190476190476,1.3627788676234265,336,0.2216078600195789,TRENDING_UP,1.1483875351412898,5.0
2007-04-11,53.714285714285715,4.403533491247382,3.7142857142857144,0.757894674560057,350,0.22113355026023107,TRENDING_UP,1.1452329389926514,6.0
2007-04-12,56.395348837209305,4.650393465413835,2.9069767441860463,0.2889615399658951,344,0.2229722324726079,TRENDING_UP,1.1197244732032492,7.0
2007-04-13,55.45454545454545,6.351935055265139,3.6363636363636362,0.508489601866517,330,0.22592405023302028,TRENDING_UP,1.1113991454147467,8.0
2007-04-16,57.05882352941176,6.285347719514694,3.823529411764706,0.46641724250022853,340,0.21612956933185365,TRENDING_UP,1.09354005426258,9.0
2007-04-17,56.04719764011799,4.8490043429745935,3.2448377581120944,-0.0415853142917482,339,0.17352533970273928,TRENDING_UP,1.0371522573539298,10.0
2007-04-18,62.089552238805965,5.546445812789146,5.074626865671641,1.5217512513655564,335,0.17593424332062202,TRENDING_UP,1.0089923203074198,11.0
2007-04-19,62.643678160919535,7.298031593980583,5.172413793103448,0.7002007896146312,348,0.163470891712159,TRENDING_UP,0.9937751633555555,12.0
2007-04-20,63.55685131195335,6.735459267452702,2.623906705539359,1.4024589682333897,343,0.16200752782775468,TRENDING_UP,1.010045875087769,13.0
2007-04-23,62.17008797653959,5.4137685573352465,3.812316715542522,-0.14752730545952544,341,0.1603003310100415,TRENDING_UP,1.0351251396034353,14.0
2007-04-24,67.79661016949152,5.599612215591931,4.80225988700565,1.2079960290916056,354,0.1636582769292227,TRENDING_UP,1.0407496010790411,15.0
2007-04-25,66.57142857142857,9.495621187940873,4.285714285714286,0.6842807232815561,350,0.1509998362201763,TRENDING_UP,1.0067746010818643,16.0
2007-04-26,65.4178674351585,6.342008088997631,3.45821325648415,-0.08541481508580118,347,0.14541122048206545,TRENDING_UP,0.9752458663250563,17.0
2007-04-27,69.23076923076923,7.695491220595438,4.923076923076923,0.49221430768123153,325,0.1498558303661403,TRENDING_UP,0.9855098286172908,18.0
2007-04-30,66.19718309859155,5.644914164524348,5.352112676056338,0.23555894180999895,355,0.12115582923252444,TRENDING_UP,1.0186019062709673,19.0
2007-05-02,67.88732394366197,5.450191983880541,6.197183098591549,0.1976995623849964,355,0.11601163050718842,TRENDING_UP,0.9995640710934077,20.0
2007-05-03,64.06685236768801,5.313316844644418,4.178272980501393,-0.25958226780221844,359,0.11907367273614411,TRENDING_UP,1.0039854676045983,21.0
2007-05-04,70.17543859649122,4.167429706962179,5.555555555555555,1.0305397183112528,342,0.1217619338393636,TRENDING_UP,0.9616986144589853,22.0
2007-05-07,58.25825825825825,4.723573175505849,4.2042042042042045,-2.7947905379753784,333,0.25692686882665283,RANGING,1.1502555930379335,0.0
2007-05-08,66.47398843930635,10.432167162342612,3.1791907514450863,2.2691063290232587,346,0.2625758827145873,TRENDING_UP,1.1970449022089829,0.0
2007-05-09,69.94047619047619,6.644536830138716,6.25,1.2598609528224998,336,0.27271866338195666,TRENDING_UP,1.1768877972578666,1.0
2007-05-10,65.22988505747126,4.739441115616512,6.609195402298851,0.24677800806597405,348,0.27589620781232826,TRENDING_UP,1.1783372169023913,2.0
2007-05-11,65.80459770114942,6.9042717716908655,6.609195402298851,0.8450269092358879,348,0.27256012192041174,TRENDING_UP,1.1867157949548868,3.0
2007-05-14,69.93464052287581,5.471201172448697,5.228758169934641,0.7081334346050726,306,0.28374347152500523,TRENDING_UP,1.270482307401901,4.0
2007-05-15,69.12181303116147,6.124218345212781,6.232294617563739,0.7701407751901167,353,0.2711550236997669,TRENDING_UP,1.2937970202869744,5.0
