symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback
786,2019-07-12,0,TRENDING_DOWN,-6.0,24.865775102607806,2.6164180521026,104183.33333333333,20
786,2019-05-23,1,VOLATILE,-6.0,15.700921233004587,2.778370521892764,146766.66666666666,20
786,2008-05-21,0,VOLATILE,-6.0,75.77805950743443,1.3454445926882694,38208.333333333336,20
786,2024-04-23,1,TRENDING_UP,-6.0,-87.32089530797559,0.18538545127770792,12833.333333333334,20
786,2012-11-27,0,TRENDING_UP,-6.0,76.99105555889227,1.5602664133063635,12848.466666666667,20
786,2024-08-09,1,RANGING,-6.0,8.302258374806222,1.4326447222585614,8571.883333333333,20
786,2010-03-05,0,RANGING,-6.0,10.814157931223352,1.1403702160339435,1592.2833333333333,20
786,2024-11-19,1,TRENDING_UP,-6.0,-4.343472470030296,1.4104913406369615,14369.1,20
786,2024-09-11,0,TRENDING_UP,-6.0,14.968673611003616,1.5864682190024746,7520.966666666666,20
786,2024-12-13,1,TRENDING_UP,-6.0,-4.989806335956878,1.6210352724083374,16431.183333333334,20
786,2012-12-19,0,TRENDING_UP,-6.0,29.20719468420053,1.3568709201464535,16475.0,20
786,2025-01-15,1,VOLATILE,-6.0,26.613953839912753,1.7230307253103376,38225.566666666666,20
786,2009-07-07,0,VOLATILE,-6.0,-78.83884309801718,0.5173625200407642,13233.333333333334,20
786,2025-01-21,1,TRENDING_UP,-6.0,49.512127610003034,1.8078353844664479,41277.73333333333,20
786,2010-10-18,0,TRENDING_UP,-6.0,-37.73128846787549,1.1091715103400754,9956.483333333334,20
786,2025-01-22,1,VOLATILE,-6.0,68.07971814127711,1.86753479194623,42695.88333333333,20
786,2011-09-05,0,VOLATILE,-6.0,28.762310579560292,1.4777272280488316,13490.1,20
786,2025-06-27,1,TRENDING_UP,-6.0,-1.4833554873651433,1.0254855032489116,11532.466666666667,20
786,2024-07-12,0,TRENDING_UP,-6.0,-13.883723699793066,1.034259602372581,11422.833333333334,20
786,2025-06-30,1,TRENDING_UP,-6.0,19.218094155554354,1.162782887066223,18403.35,20
786,2026-01-06,0,TRENDING_UP,-6.0,-11.93788040977563,1.3742524040025739,81378.03333333334,20
786,2025-08-08,1,TRENDING_UP,15.837937384898717,14.168430020797715,1.2896354606082359,66071.98333333334,20
786,2012-10-05,0,TRENDING_UP,76.24309392265192,4.851482132528297,1.290781521215325,11089.983333333334,20
786,2025-08-11,1,TRENDING_UP,-6.0,17.6344521706649,1.3405156604883197,78437.31666666667,20
786,2010-01-05,0,TRENDING_UP,-6.0,-11.877481872105168,1.1322060667803826,2915.5,20
786,2025-09-04,1,TRENDING_UP,-6.0,24.817867685848753,1.6078967869098015,108793.21666666666,20
