symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
JSBL,2023-11-08,2023-11-10,7.25,2023-12-19,9.1834,sl,26.668,39,95.3,35.39
JUBS,2023-10-11,2023-10-12,6.0,2023-10-16,5.52,sl,-8.0,4,96.0,34.56
JUBS,2023-10-24,2023-10-25,7.1,2023-10-27,6.532,sl,-8.0,2,97.5,83.16
JUBS,2023-12-08,2023-12-11,9.4,2023-12-12,8.648,sl,-8.0,1,96.6,79.08
JUBS,2023-12-13,2023-12-14,10.0,2023-12-15,9.2,sl,-8.0,1,97.4,92.04
JUBS,2023-12-28,2023-12-29,10.0,2024-01-15,9.8053,sl,-1.9471,17,97.3,78.76
JUBS,2024-01-17,2024-01-18,12.2,2024-02-12,21.2299,sl,74.0152,25,97.3,112.54
JUBS,2024-08-22,2024-08-23,17.6,2024-08-26,16.192,sl,-8.0,3,98.9,255.17
JUBS,2025-08-19,2025-08-20,32.0,2025-09-05,43.8897,sl,37.1554,16,95.8,124.68
KCL,2025-07-07,2025-07-08,190.04,2025-07-09,174.8368,sl,-8.0,1,98.8,267.72
KCL,2025-07-10,2025-07-11,241.0,2025-07-14,221.72,sl,-8.0,3,99.0,372.48
KEL,2023-12-15,2023-12-18,5.5,2023-12-19,5.06,sl,-8.0,1,98.1,87.97
