symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,rs_rating,rs_score,holding_days,year,rs_bucket
APL,2022-08-17,2022-08-18,389.0,2022-08-31,391.14,time,0.5501,93.9,20.93,13,2022,90-95
APL,2022-09-09,2022-09-12,291.0,2022-09-21,279.36,sl,-4.0,94.1,26.96,9,2022,90-95
ARCTM,2025-05-19,2025-05-20,31.4,2025-05-21,30.144,sl,-4.0,86.0,27.43,1,2025,80-90
ARCTM,2025-06-03,2025-06-04,32.7,2025-06-05,35.316,tp,8.0,89.5,49.71,1,2025,80-90
ARCTM,2025-06-10,2025-06-11,41.9,2025-06-12,45.252,tp,8.0,93.7,85.0,1,2025,90-95
ARCTM,2025-07-07,2025-07-08,46.8,2025-07-09,44.928,sl,-4.0,93.1,90.32,1,2025,90-95
ARPL,2022-04-20,2022-04-21,634.99,2022-04-28,609.5904,sl,-4.0,83.0,8.25,7,2022,80-90
ARUJ,2024-06-13,2024-06-14,17.8,2024-06-20,17.088,sl,-4.0,92.2,47.22,6,2024,90-95
ARUJ,2024-06-28,2024-07-01,20.0,2024-07-02,21.6,tp,8.0,95.5,83.88,1,2024,95-100
ARUJ,2024-07-04,2024-07-05,31.0,2024-07-08,33.48,tp,8.0,97.4,137.64,3,2024,95-100
ARUJ,2024-07-09,2024-07-10,40.0,2024-07-11,38.4,sl,-4.0,98.9,211.44,1,2024,95-100
ASC,2022-10-10,2022-10-11,12.76,2022-10-24,13.58,time,6.4263,89.5,12.41,13,2022,80-90
ASC,2022-11-11,2022-11-14,13.25,2022-11-16,12.72,sl,-4.0,91.9,18.87,2,2022,90-95
ASC,2025-08-19,2025-08-20,13.46,2025-08-21,14.5368,tp,8.0,87.9,49.62,1,2025,80-90
ASC,2025-08-22,2025-08-25,18.5,2025-08-26,19.98,tp,8.0,94.2,118.37,1,2025,90-95
ASL,2021-01-28,2021-01-29,26.68,2021-02-01,25.6128,sl,-4.0,95.9,110.51,3,2021,95-100
ASL,2021-03-02,2021-03-03,25.21,2021-03-05,24.2016,sl,-4.0,93.6,95.34,2,2021,90-95
ASL,2021-06-04,2021-06-07,26.35,2021-06-18,26.42,time,0.2657,89.0,76.22,11,2021,80-90
ASLPS,2025-08-19,2025-08-20,23.0,2025-08-21,24.84,tp,8.0,94.2,110.45,1,2025,90-95
ASLPS,2025-09-04,2025-09-05,34.22,2025-09-08,32.8512,sl,-4.0,97.5,207.23,3,2025,95-100
ASTM,2025-02-24,2025-02-25,17.41,2025-02-27,16.7136,sl,-4.0,80.2,11.27,2,2025,80-90
ASTM,2025-08-20,2025-08-21,37.6,2025-08-22,36.096,sl,-4.0,93.2,106.96,1,2025,90-95
ATBA,2021-02-12,2021-02-15,310.0,2021-02-22,297.6,sl,-4.0,80.6,44.97,7,2021,80-90
ATBA,2021-07-06,2021-07-07,392.0,2021-07-12,376.32,sl,-4.0,83.4,56.67,5,2021,80-90
ATBA,2023-03-10,2023-03-13,173.15,2023-03-20,166.224,sl,-4.0,85.2,6.15,7,2023,80-90
ATBA,2023-04-20,2023-04-26,182.0,2023-04-27,196.56,tp,8.0,91.7,14.81,1,2023,90-95
ATBA,2023-06-05,2023-06-06,229.7,2023-06-07,220.512,sl,-4.0,94.4,32.57,1,2023,90-95
ATBA,2023-08-04,2023-08-07,253.4,2023-08-08,273.672,tp,8.0,97.0,26.03,1,2023,95-100
ATBA,2023-08-24,2023-08-25,276.0,2023-08-28,298.08,tp,8.0,97.9,36.89,3,2023,95-100
ATBA,2024-07-10,2024-07-11,402.0,2024-07-12,434.16,tp,8.0,82.0,14.67,1,2024,80-90
ATBA,2024-07-15,2024-07-18,517.86,2024-07-19,497.1456,sl,-4.0,91.9,60.88,1,2024,90-95
ATIL,2022-08-31,2022-09-06,53.5,2022-10-11,54.0,time,0.9346,82.6,7.94,35,2022,80-90
ATIL,2025-07-16,2025-07-17,94.01,2025-07-18,90.2496,sl,-4.0,87.5,54.81,1,2025,80-90
ATIL,2025-09-23,2025-09-24,105.0,2025-09-25,100.8,sl,-4.0,83.7,39.89,1,2025,80-90
ATLH,2024-04-30,2024-05-02,487.0,2024-05-15,488.53,time,0.3142,83.8,11.63,13,2024,80-90
ATLH,2024-05-20,2024-05-21,534.0,2024-06-05,512.64,sl,-4.0,89.2,26.45,15,2024,80-90
ATLH,2024-07-09,2024-07-10,643.0,2024-07-11,694.44,tp,8.0,88.6,37.72,1,2024,80-90
ATLH,2024-09-23,2024-09-24,654.51,2024-10-07,677.25,time,3.4744,90.2,40.98,13,2024,90-95
ATLH,2024-10-11,2024-10-14,770.0,2024-10-22,831.6,tp,8.0,92.6,62.41,8,2024,90-95
ATLH,2024-10-30,2024-10-31,876.01,2024-11-01,840.9696,sl,-4.0,94.9,85.38,1,2024,90-95
ATLH,2024-11-06,2024-11-07,887.4,2024-11-13,851.904,sl,-4.0,93.3,78.86,6,2024,90-95
ATLH,2025-03-25,2025-03-26,970.0,2025-04-03,931.2,sl,-4.0,87.3,28.8,8,2025,80-90
ATLH,2025-04-14,2025-04-15,964.0,2025-04-16,1041.12,tp,8.0,85.9,32.26,1,2025,80-90
ATLH,2025-04-21,2025-04-22,1129.49,2025-04-30,1219.8492,tp,8.0,90.3,54.37,8,2025,90-95
ATRL,2021-02-01,2021-02-02,207.9,2021-02-10,224.532,tp,8.0,82.2,45.31,8,2021,80-90
ATRL,2021-03-03,2021-03-04,232.0,2021-03-09,222.72,sl,-4.0,91.0,80.78,5,2021,90-95
ATRL,2021-06-18,2021-06-21,271.5,2021-06-28,260.64,sl,-4.0,90.0,84.76,7,2021,80-90
ATRL,2022-10-11,2022-10-12,163.48,2022-10-18,156.9408,sl,-4.0,89.3,10.47,6,2022,80-90
ATRL,2022-10-21,2022-10-24,171.49,2022-10-26,164.6304,sl,-4.0,86.6,9.4,2,2022,80-90
ATRL,2022-11-11,2022-11-14,174.49,2022-11-28,167.5104,sl,-4.0,87.4,12.18,14,2022,80-90
ATRL,2023-03-03,2023-03-06,169.97,2023-03-17,169.39,time,-0.3412,91.5,16.47,11,2023,90-95
ATRL,2023-04-20,2023-04-26,174.11,2023-05-09,167.1456,sl,-4.0,89.4,13.4,13,2023,80-90
ATRL,2023-06-06,2023-06-07,175.0,2023-06-19,168.0,sl,-4.0,82.6,7.22,12,2023,80-90
ATRL,2023-07-03,2023-07-04,183.97,2023-07-05,198.6876,tp,8.0,84.6,7.55,1,2023,80-90
ATRL,2023-07-10,2023-07-11,212.99,2023-07-18,204.4704,sl,-4.0,92.2,19.34,7,2023,90-95
ATRL,2023-07-26,2023-07-27,227.0,2023-08-01,245.16,tp,8.0,96.7,33.72,5,2023,95-100
ATRL,2023-08-02,2023-08-03,257.0,2023-08-08,246.72,sl,-4.0,97.1,45.65,5,2023,95-100
ATRL,2023-10-09,2023-10-10,265.07,2023-10-11,286.2756,tp,8.0,97.1,42.58,1,2023,95-100
ATRL,2023-10-24,2023-10-25,285.8,2023-11-07,282.31,time,-1.2211,96.3,40.56,13,2023,95-100
ATRL,2023-11-28,2023-11-29,312.0,2023-12-05,336.96,tp,8.0,91.2,26.12,6,2023,90-95
ATRL,2023-12-06,2023-12-07,364.7,2023-12-11,350.112,sl,-4.0,96.1,49.91,4,2023,95-100
ATRL,2024-03-04,2024-03-05,358.0,2024-03-13,343.68,sl,-4.0,91.8,28.49,8,2024,90-95
ATRL,2024-03-28,2024-03-29,379.0,2024-04-17,391.97,time,3.4222,90.3,25.06,19,2024,90-95
ATRL,2024-04-18,2024-04-19,399.99,2024-05-02,383.9904,sl,-4.0,88.8,24.53,13,2024,80-90
ATRL,2024-12-10,2024-12-11,599.02,2024-12-12,646.9416,tp,8.0,80.9,16.46,1,2024,80-90
ATRL,2024-12-13,2024-12-16,671.0,2024-12-17,724.68,tp,8.0,85.9,29.17,1,2024,80-90
ATRL,2025-03-20,2025-03-21,686.8,2025-03-24,659.328,sl,-4.0,85.9,23.44,3,2025,80-90
AVN,2021-01-25,2021-01-26,102.0,2021-02-04,97.92,sl,-4.0,93.4,80.55,9,2021,90-95
AVN,2021-02-08,2021-02-09,103.59,2021-02-10,99.4464,sl,-4.0,91.3,79.89,1,2021,90-95
AVN,2021-02-19,2021-02-22,104.5,2021-02-23,100.32,sl,-4.0,93.4,95.84,1,2021,90-95
AVN,2021-07-19,2021-07-23,116.0,2021-07-26,111.36,sl,-4.0,80.5,48.61,3,2021,80-90
BAFL,2022-01-26,2022-01-27,37.5,2022-02-09,37.23,time,-0.72,81.0,8.85,13,2022,80-90
BAFL,2022-02-18,2022-02-21,38.25,2022-02-24,36.72,sl,-4.0,85.3,12.53,3,2022,80-90
BAFL,2022-04-11,2022-04-12,36.3,2022-04-21,34.848,sl,-4.0,82.7,7.97,9,2022,80-90
BAFL,2023-07-06,2023-07-07,34.7,2023-07-21,37.476,tp,8.0,81.2,3.79,14,2023,80-90
BAFL,2023-08-03,2023-08-04,42.49,2023-08-08,40.7904,sl,-4.0,95.7,20.2,4,2023,95-100
BAFL,2024-02-26,2024-02-27,52.25,2024-02-29,56.43,tp,8.0,83.4,11.52,2,2024,80-90
BAFL,2024-03-01,2024-03-04,57.61,2024-03-13,55.3056,sl,-4.0,87.4,18.8,9,2024,80-90
BAFL,2024-05-02,2024-05-03,58.2,2024-05-17,62.856,tp,8.0,90.9,23.88,14,2024,90-95
BAFL,2024-05-24,2024-05-27,64.04,2024-05-31,61.4784,sl,-4.0,86.4,23.37,4,2024,80-90
BAFL,2024-06-14,2024-06-20,67.0,2024-06-21,72.36,tp,8.0,88.0,21.12,1,2024,80-90
BAFL,2024-11-27,2024-11-28,82.51,2024-11-29,79.2096,sl,-4.0,83.5,19.45,1,2024,80-90
BAFL,2024-12-02,2024-12-03,84.0,2024-12-09,80.64,sl,-4.0,81.2,15.47,6,2024,80-90
