symbol,start,end,outcome,breakout_idx,close_at_breakout,ema_at_breakout,price_above_ema,ema_rising,ema_slope_pct,raw_pct_move,sma_at_breakout,passes_sma,passes_ema
DCL,1560,1640,down,1641,1.3,1.608899086103684,False,False,-2.997291802019391,-60.76923076923075,1.59115,True,True
DCL,2520,2600,down,2605,14.79,12.14215525534988,True,True,6.674731772609174,16.970926301555103,10.8475,False,False
DCL,4760,4840,up,4854,9.24,7.870396042236654,True,True,2.1709042496545385,-2.813852813852812,8.0802,True,True
DCR,1240,1320,down,1331,10.51,11.098928980290845,False,False,-0.5613849301467347,1.90294957183634,11.20605,True,True
DFML,3840,3920,down,3930,6.82,6.727058315286264,True,True,1.1049501223894318,26.24633431085044,6.1787,False,False
DFML,3880,3960,down,3961,5.85,6.682840297605244,False,False,-0.7754254424201773,-36.75213675213677,6.56635,True,True
DGKC,680,760,up,764,95.0,97.95248742148355,False,False,-1.184566482167656,-2.3263157894736777,102.40525,False,False
DGKC,1480,1560,down,1573,21.86,24.935915036880917,False,False,-1.6701788168832377,4.025617566331194,25.886100000000003,True,True
DGKC,2920,3000,down,3015,227.28,218.36045330073847,True,True,2.169137602902145,31.590989088349176,215.25605,False,False
DNCC,240,320,down,324,0.1817,0.1816325756584907,True,True,1.9228164627612945,-51.67859108420474,0.17329650000000002,False,False
DOL,680,760,down,761,4.61,6.118449356170794,False,False,-4.680927219806811,9.76138828633406,6.6019000000000005,True,True
DOL,3560,3640,down,3646,24.55,24.14317662725154,True,True,1.7023338240052002,10.590631364562125,24.21475,False,False
DSL,4000,4080,up,4091,6.12,5.60649329519782,True,True,0.6746950669546089,11.27450980392156,5.61205,True,True
DSL,4360,4440,down,4441,5.92,7.928719279862213,False,False,-2.2387291004369843,4.3918918918918886,8.4586,True,True
DYNO,880,960,down,992,9.61,11.398845046313491,False,False,-1.6890069478092395,5.202913631633716,11.720350000000002,True,True
ECOP,280,360,down,376,24.715,29.788331426586296,False,False,-2.984940671187786,7.546024681367585,29.846750999999998,True,True
ECOP,1040,1120,down,1121,4.88,6.342414278440277,False,False,-3.0722467515945087,14.959016393442614,5.7315499999999995,True,True
EFERT,520,600,down,601,66.58,76.16811140205279,False,False,-2.046135341008707,4.6860919194953405,79.40845,True,True
EFERT,1320,1400,up,1401,69.02,69.02940315056708,False,False,-0.5493819502229768,7.896261953057089,69.99255,False,False
EFUG,1680,1760,up,1763,45.6791,39.12612500155033,True,True,3.0761508988493302,11.323121515091149,37.6745235,True,True
EFUG,1800,1880,up,1881,49.5439,45.98154026623309,True,True,2.1571503500252245,12.6802694176276,47.41595099999999,True,True
EFUL,120,200,up,201,125.4125,116.71075734433556,True,,,16.731506030100682,116.596661,True,True
