symbol,sector,tier,n_rows,n_placeholder_dropped,coverage,min_positive_close
PIL,INSURANCE,mid,4123,0,0.826,0.2016
PINL,INSURANCE,mid,3956,1,0.729,3.5
PIOC,CEMENT,liquid,5232,0,0.965,3.2
PKGI,INSURANCE,thin,3390,2,0.625,0.2659
PKGP,POWER GENERATION & DISTRIBUTION,liquid,3605,2,0.955,6.9771
PKGS,PAPER & BOARD,liquid,5209,0,0.96,70.3
PNSC,TRANSPORT,liquid,5193,0,0.957,7.5922
POL,OIL & GAS EXPLORATION COMPANIES,liquid,5277,0,0.973,81.53
POWER,CEMENT,liquid,5219,0,0.962,1.71
POWERPS,CEMENT,mid,499,0,0.782,8.7
PPL,OIL & GAS EXPLORATION COMPANIES,liquid,5271,0,0.972,51.05
PPP,PAPER & BOARD,thin,3135,8,0.578,18.6325
PPVC,CHEMICAL,thin,2588,3,0.497,0.0007
PREMA,FOOD & PERSONAL CARE PRODUCTS,liquid,1961,0,0.978,12.05
PRL,REFINERY,liquid,5253,0,0.968,9.3418
PSEL,MISCELLANEOUS,thin,1948,25,0.359,102.21
PSO,OIL & GAS MARKETING COMPANIES,liquid,5272,0,0.972,96.0
PTC,TECHNOLOGY & COMMUNICATION,liquid,5276,0,0.973,5.59
PTL,AUTOMOBILE PARTS & ACCESSORIES,liquid,1330,0,0.98,15.17
QUET,TEXTILE COMPOSITE,thin,2104,8,0.388,4.0
QUICE,FOOD & PERSONAL CARE PRODUCTS,liquid,5062,0,0.933,0.4899
REDCO,TEXTILE COMPOSITE,thin,3516,1,0.648,0.25
REWM,TEXTILE COMPOSITE,thin,3670,1,0.677,2.76
RICL,INSURANCE,mid,3974,4,0.733,3.05
RMPL,FOOD & PERSONAL CARE PRODUCTS,thin,2799,12,0.517,600.95
RPL,PAPER & BOARD,liquid,2317,0,0.981,8.8
SAPT,TEXTILE COMPOSITE,thin,2143,12,0.395,53.6
SARC,CHEMICAL,thin,2447,14,0.451,0.5062
SAZEW,AUTOMOBILE ASSEMBLER,mid,4847,0,0.894,7.292
SBL,COMMERCIAL BANKS,mid,4477,4,0.825,1.3
SCBPL,COMMERCIAL BANKS,mid,4357,0,0.898,6.08
SCL,FOOD & PERSONAL CARE PRODUCTS,thin,2234,33,0.413,16.2378
SEARL,PHARMACEUTICALS,liquid,5169,0,0.953,10.6644
SEL,POWER GENERATION & DISTRIBUTION,thin,3308,3,0.61,6.0
SEPL,PAPER & BOARD,mid,4811,1,0.888,18.9082
SFL,TEXTILE COMPOSITE,thin,2505,21,0.462,75.1
SGPL,POWER GENERATION & DISTRIBUTION,thin,2437,1,0.449,0.0001
SHEL,OIL & GAS MARKETING COMPANIES,liquid,4915,0,0.968,68.36
SHEZ,FOOD & PERSONAL CARE PRODUCTS,thin,3428,2,0.632,82.38
SHFA,MISCELLANEOUS,mid,4479,0,0.826,13.05
SHNI,INSURANCE,thin,3692,3,0.681,1.8056
SIEM,CABLE & ELECTRICAL GOODS,mid,4202,5,0.775,449.36
SILK,COMMERCIAL BANKS,liquid,4934,0,0.969,0.63
SITC,CHEMICAL,mid,4524,0,0.834,68.62
SMCPL,CEMENT,mid,3290,4,0.8,3.21
SNBL,COMMERCIAL BANKS,liquid,5116,0,0.943,2.8044
SNGP,OIL & GAS MARKETING COMPANIES,liquid,5285,0,0.974,15.64
SPEL,MISCELLANEOUS,liquid,2723,0,0.946,7.2523
SPL,CHEMICAL,liquid,4651,0,0.965,8.15
SPWL,POWER GENERATION & DISTRIBUTION,liquid,2832,0,0.971,7.2879
SSGC,OIL & GAS MARKETING COMPANIES,liquid,5259,0,0.97,8.36
STCL,GLASS & CERAMICS,mid,4512,0,0.832,5.23
STML,TEXTILE COMPOSITE,thin,1824,37,0.336,5.63
STPL,MISCELLANEOUS,liquid,4941,0,0.952,4.3292
SURC,TEXTILE COMPOSITE,thin,3100,19,0.572,12.7
SYS,TECHNOLOGY & COMMUNICATION,liquid,2817,0,0.978,22.3293
TELE,TECHNOLOGY & COMMUNICATION,liquid,5273,0,0.972,0.75
TGL,GLASS & CERAMICS,mid,4829,0,0.891,5.93
THALL,AUTOMOBILE PARTS & ACCESSORIES,liquid,5153,0,0.95,42.5
THCCL,CEMENT,mid,3782,0,0.822,6.07
TOMCL,FOOD & PERSONAL CARE PRODUCTS,liquid,1470,0,0.981,18.33
TOWL,TEXTILE COMPOSITE,thin,2041,5,0.378,3.52
TPL,TECHNOLOGY & COMMUNICATION,liquid,3451,0,0.979,2.83
TPLI,INSURANCE,thin,2412,8,0.646,5.3886
TPLP,PROPERTY,mid,2114,0,0.837,3.5
TPLT,TECHNOLOGY & COMMUNICATION,liquid,1421,0,0.952,4.81
TREET,FOOD & PERSONAL CARE PRODUCTS,mid,4473,0,0.825,10.32
TRG,TECHNOLOGY & COMMUNICATION,liquid,5284,0,0.974,1.07
TRIPF,MISCELLANEOUS,liquid,4984,0,0.919,40.4
TSPL,POWER GENERATION & DISTRIBUTION,liquid,5030,0,0.927,0.0153
UBDL,MISCELLANEOUS,thin,2262,1,0.418,3.5
UBL,COMMERCIAL BANKS,liquid,5149,0,0.967,14.2295
UDPL,MISCELLANEOUS,thin,2986,8,0.55,2.4155
UNIC,INSURANCE,mid,4117,0,0.767,0.9385
UNITY,FOOD & PERSONAL CARE PRODUCTS,thin,2986,0,0.556,0.4189
UPFL,FOOD & PERSONAL CARE PRODUCTS,thin,2290,14,0.423,285.0
UVIC,INSURANCE,thin,2998,6,0.553,0.1465
WAHN,CHEMICAL,mid,3994,9,0.736,24.25
WAVES,CABLE & ELECTRICAL GOODS,mid,4587,0,0.846,6.0
WTL,TECHNOLOGY & COMMUNICATION,liquid,5086,0,0.964,0.55
ZAHID,TEXTILE COMPOSITE,thin,2820,5,0.52,1.34
ZIL,FOOD & PERSONAL CARE PRODUCTS,thin,3347,6,0.617,19.9461
