sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite,realistic_realized_R,realized_R_realistic,close_at_breakout_check,sma_at_breakout,passes_sma,R_final,risk_pct_of_price,friction_in_R,R_net_friction_cgt
REFINERY,ATRL,2640,2720,ascending,up,up,2721,4.0,224.51,222.05,2.4599999999999795,no_valid_consolidation,,,201.2628842676312,23.2471157323688,2722.0,,,2722,False,False,-1.0,,-0.1032386136684589,-1.0,-1.0,224.51,211.0657,True,-1.0,1.0957195670571376,0.18252845528455436,-1.1825284552845543
REFINERY,ATRL,5000,5080,ascending,sequential,up,5081,3.0,704.88,679.0,25.879999999999995,skipped_risk_gt_6pct,660.33,,662.840962349633,42.03903765036705,5088.0,,5095.0,5088,False,False,-1.0,,-0.6365512032544434,-1.0,-1.0,704.88,645.4207,True,-1.0,3.6715469299738954,0.05447295208655334,-1.0544729520865532
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,down,2001,1.0,88.06,95.0,6.939999999999998,no_valid_consolidation,,,110.01091693862512,21.95091693862512,2024.0,,2026.0,2024,False,False,-1.0,,-0.4018055384502051,-1.0,-1.0,88.06,106.08709999999999,True,-1.0,7.880990233931408,0.025377521613832863,-1.0253775216138328
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,down,1924,4.0,8.4127,8.7224,0.3097000000000012,skipped_risk_gt_6pct,8.94,,8.855473114039642,0.4427731140396425,1929.0,,1931.0,1929,False,False,-1.0,,-0.6644486547881487,-1.0,-1.0,8.4127,8.618545000000001,True,-1.0,3.6813389280492737,0.054328059412334304,-1.0543280594123343
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,down,3139,4.0,20.4176,20.9027,0.4850999999999992,ok,21.37,0.9524000000000008,21.95721253132832,1.53961253132832,3141.0,3155.0,3158.0,3141,False,False,-1.0,-0.4280764384712285,-0.2648068859560724,-1.0,-1.0,20.4176,20.879399499999998,True,-1.0,2.375891387822267,0.08417893217893233,-1.0841789321789324
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,up,3921,4.0,19.2615,18.6576,0.603900000000003,ok,18.47,0.7915000000000028,18.24990204841713,1.0115979515828677,3926.0,3931.0,3932.0,3926,False,False,-1.0,-0.8085912823752348,-0.6326624119775842,-1.0,-1.0,19.2615,17.86345,True,-1.0,3.1352698387976172,0.06379036264282134,-1.0637903626428213
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,up,4608,4.0,21.0833,20.593,0.4903000000000013,skipped_risk_gt_6pct,19.7,,19.877369639842428,1.2059303601575737,4613.0,,4616.0,4613,False,False,-1.0,,-0.3808677641551273,-1.0,-1.0,21.0833,17.4790995,True,-1.0,2.3255372735767232,0.08600163165408911,-1.086001631654089
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,down,4208,1.0,68.79,76.39,7.599999999999994,skipped_risk_gt_6pct,77.15,,77.13899963423556,8.348999634235554,,,,4298,False,True,1.5065789473684226,,1.37142178723408,,1.5065789473684226,68.79,71.04729999999999,True,1.5065789473684226,11.048117458932975,0.018102631578947384,1.2624894736842118
ENGINEERING,BCL,760,840,ascending,down,down,845,1.0,45.07,47.14,2.0700000000000003,ok,47.61,2.539999999999999,50.68827586206897,5.61827586206897,,,,935,False,True,7.468599033816424,6.086614173228349,2.7517338734425807,,7.468599033816424,45.07,46.3571,True,7.468599033816424,4.592855558020857,0.04354589371980676,6.304763285024153
ENGINEERING,BCL,3400,3480,descending,up,up,3481,4.0,143.76,110.0,33.75999999999999,no_valid_consolidation,,,86.37464952838913,57.38535047161086,3519.0,,3545.0,3519,False,False,-1.0,,-0.5464809353305964,-1.0,-1.0,143.76,108.83475,True,-1.0,23.4835837506956,0.00851658767772512,-1.0085165876777251
CHEMICAL,BERG,2280,2360,symmetrical,down,down,2362,3.0,98.86,111.3,12.439999999999998,skipped_risk_gt_6pct,112.41,,105.00521739130436,6.145217391304371,,,2370.0,2370,False,False,-0.2098070739549839,,-1.0,,-0.2098070739549839,98.86,104.7429,True,-0.2098070739549839,12.583451345336838,0.01589389067524116,-0.22570096463022507
CHEMICAL,BERG,2840,2920,symmetrical,down,down,2934,4.0,149.72,151.35,1.6299999999999957,ok,156.35,6.629999999999996,155.64441140278916,5.924411402789161,2937.0,,,2937,False,False,-1.0,-0.1659125188536945,-0.185672453381972,-1.0,-1.0,149.72,175.07535,True,-1.0,1.0886989046219582,0.18370552147239314,-1.183705521472393
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,down,2327,4.0,10.0,10.4,0.4000000000000003,skipped_risk_gt_6pct,10.81,,11.067872340425533,1.0678723404255326,2336.0,,2337.0,2336,False,False,-1.0,,-0.9364415222155802,-1.0000000000000002,-1.0000000000000002,10.0,10.28195,True,-1.0000000000000002,4.000000000000003,0.04999999999999997,-1.0500000000000003
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,up,4001,4.0,13.53,13.5,0.0299999999999993,no_valid_consolidation,,,10.64319975620905,2.886800243790949,4002.0,,4077.0,4002,False,False,-1.0,,0.1247055457939302,-1.000000000000002,-1.000000000000002,13.53,11.7722,True,-1.000000000000002,0.2217294900221678,0.902000000000021,-1.902000000000023
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,down,1361,4.0,13.19,13.72,0.5300000000000011,skipped_risk_gt_6pct,14.34,,14.109146341463417,0.9191463414634152,1362.0,,1364.0,1362,False,False,-1.0,,-0.641899960196364,-1.0,-1.0,13.19,15.33845,True,-1.0,4.0181956027293495,0.049773584905660265,-1.0497735849056602
COMMERCIAL BANKS,BOK,440,520,descending,down,down,530,3.0,13.6,14.0,0.4000000000000003,skipped_risk_gt_6pct,15.0,,14.454703557312255,0.8547035573122557,552.0,,576.0,552,False,False,-1.0,,-0.4094987051424326,-1.0000000000000002,-1.0000000000000002,13.6,15.13725,True,-1.0000000000000002,2.9411764705882377,0.06799999999999995,-1.068
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,down,3773,4.0,15.0,15.45,0.4499999999999993,ok,15.76,0.7599999999999998,16.657655786350148,1.6576557863501478,3778.0,,,3778,False,False,-1.0,-0.7894736842105261,-0.3619569303474571,-1.311111111111113,-1.311111111111113,15.0,15.53235,True,-1.311111111111113,2.9999999999999956,0.06666666666666676,-1.3777777777777795
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,up,4363,4.0,15.31,13.15,2.16,no_valid_consolidation,,,13.994657087770833,1.315342912229168,4370.0,,4367.0,4367,False,False,-0.2592592592592594,,-1.0,,-0.2592592592592594,15.31,12.77055,True,-0.2592592592592594,14.10842586544742,0.014175925925925925,-0.27343518518518534
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,down,802,2.0,31.5,32.92,1.4200000000000017,ok,33.3,1.7999999999999972,32.59449389590918,1.0944938959091814,,,,892,False,True,6.239436619718302,4.92222222222223,8.095065703989254,,6.239436619718302,31.5,37.45915,True,6.239436619718302,4.507936507936513,0.04436619718309854,5.259154929577458
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1400,1480,ascending,up,up,1492,1.0,48.9582,45.9466,3.0116000000000014,skipped_risk_gt_6pct,45.4,,45.37088749235848,3.5873125076415207,,,,1582,False,True,5.317339620135476,,4.463982428597562,,5.317339620135476,48.9582,41.6595835,True,5.317339620135476,6.151369944156447,0.0325130827467127,4.487225594368442
INSURANCE,CENI,3480,3560,symmetrical,up,up,3595,3.0,26.49,25.0,1.4899999999999984,skipped_risk_gt_6pct,24.02,,23.83333333333333,2.65666666666667,,,,3685,False,True,7.7449664429530305,,4.343789209535755,,7.7449664429530305,26.49,22.23505,True,7.7449664429530305,5.62476406191015,0.03555704697986581,6.54766442953021
PAPER & BOARD,CEPB,840,920,descending,down,down,921,4.0,13.79,14.15,0.3600000000000012,skipped_risk_gt_6pct,15.15,,15.777183098591552,1.9871830985915528,943.0,,1004.0,943,False,False,-1.0,,-0.3119994329860373,-1.0,-1.0,13.79,32.27845,True,-1.0,2.610587382160995,0.07661111111111085,-1.0766111111111107
