sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite,realistic_realized_R,realized_R_realistic,R_final,tier,breakout_date
FOOD & PERSONAL CARE PRODUCTS,UPFL,400,480,symmetrical,up,up,490,2.0,1776.23,1700.0,76.23000000000002,ok,1683.0,93.23000000000002,1651.5084112149532,124.72158878504683,,,,580,False,True,14.610651974288334,11.946476456076368,8.930049808133397,,14.610651974288334,14.610651974288334,thin,2012-02-23
MISCELLANEOUS,PABC,480,560,symmetrical,up,up,561,1.0,54.13,53.03,1.1000000000000014,skipped_risk_gt_6pct,48.91,,49.43841302592625,4.691586974073751,,,,651,False,True,14.427272727272706,,3.3826507081078203,,14.427272727272706,14.427272727272706,liquid,2023-10-24
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,up,2681,1.0,4.5538,4.209,0.3448000000000002,no_valid_consolidation,,,3.696177610441767,0.8576223895582329,,,,2771,False,True,14.079756380510432,,5.66064979075545,,14.079756380510432,14.079756380510432,thin,2023-07-12
OIL & GAS MARKETING COMPANIES,SSGC,4760,4840,descending,up,up,4841,1.0,16.68,15.16,1.5199999999999996,no_valid_consolidation,,,8.47911865373645,8.20088134626355,,,,4931,False,True,13.500000000000004,,2.502170088017337,,13.500000000000004,13.500000000000004,liquid,2024-11-05
TEXTILE COMPOSITE,NCL,3360,3440,symmetrical,down,down,3476,2.0,50.79,52.39,1.6000000000000014,ok,52.91,2.119999999999997,54.6505128205128,3.8605128205128025,,,,3566,False,True,12.599999999999987,9.509433962264165,5.222104144527124,,12.599999999999987,12.599999999999987,liquid,2019-04-02
PAPER & BOARD,MERIT,4240,4320,ascending,down,down,4344,2.0,12.87,13.18,0.3100000000000005,ok,13.59,0.7200000000000006,13.937181455326993,1.0671814553269936,,,,4434,False,True,11.741935483870945,5.055555555555549,3.4108538729101805,,11.741935483870945,11.741935483870945,mid,2026-01-14
CHEMICAL,PAKOXY,4400,4480,descending,up,up,4481,1.0,86.01,80.0,6.010000000000005,skipped_risk_gt_6pct,77.48,,78.52369431117202,7.486305688827983,,,,4571,False,True,11.279534109816964,,9.055200631356112,,11.279534109816964,11.279534109816964,liquid,2024-08-09
TRANSPORT,PNSC,4640,4720,ascending,up,up,4746,1.0,225.7073,206.5912,19.116100000000017,skipped_risk_gt_6pct,201.33,,201.861543436158,23.84575656384206,,,,4836,False,True,10.853296435988502,,8.700613018695169,,10.853296435988502,10.853296435988502,liquid,2024-09-25
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,up,1602,2.0,65.0,61.3,3.700000000000003,skipped_risk_gt_6pct,60.69,,59.2638435194942,5.736156480505798,,,,1692,False,True,10.578378378378371,,6.823384287548018,,10.578378378378371,10.578378378378371,mid,2012-03-28
REFINERY,PRL,3920,4000,ascending,down,down,4005,1.0,25.02,25.88,0.8599999999999994,skipped_risk_gt_6pct,27.27,,27.159553819006803,2.139553819006803,,,,4095,False,True,9.01162790697675,,3.622250551097428,,9.01162790697675,9.01162790697675,liquid,2021-06-25
