symbol,start,end,outcome,direction,breakout_idx,entry_price,stop_price,target_price,exit_bar,exit_type,realized_R
HBL,3200,3280,sequential,up,3288,140.12,137.3176,145.72480000000002,3309,stop,-1.0
HBL,3800,3880,sequential,down,3885,70.51,71.92020000000001,67.6896,3887,target,2.0
HINO,1840,1920,up,up,1935,682.2704,668.624992,709.5612160000001,1939,target,2.0
HINOON,680,760,down,down,762,79.25,80.83500000000001,76.08,766,stop,-1.0
HMB,880,960,up,up,966,28.07,27.5086,29.192800000000002,967,stop,-1.0
HMB,1080,1160,down,down,1175,30.94,31.5588,29.7024,1176,target,2.0
HMB,4200,4280,up,up,4292,35.48,34.770399999999995,36.8992,4296,stop,-1.0
HMB,4960,5040,up,up,5045,114.36,112.0728,118.9344,5047,target,2.0
HTL,1560,1640,down,down,1642,37.46,38.2092,35.9616,1643,stop,-1.0
HUBC,1320,1400,up,up,1401,36.37,35.642599999999995,37.824799999999996,1418,target,2.0
HUMNL,3640,3720,down,down,3725,6.57,6.7014000000000005,6.3072,3727,target,2.0
IBLHL,360,440,up,up,441,9.4,9.212,9.776000000000002,442,stop,-1.0
IBLHL,3320,3400,down,down,3426,32.9,33.558,31.583999999999996,3427,stop,-1.0
IBLHL,3920,4000,down,down,4002,60.12,61.3224,57.715199999999996,4003,stop,-1.0
IGIL,2120,2200,down,down,2203,47.09,48.031800000000004,45.2064,2204,stop,-1.0
IGIL,2640,2720,sequential,down,2730,12.85,13.107,12.335999999999999,2731,stop,-1.0
ILP,800,880,down,down,881,60.01,61.2102,57.60959999999999,882,stop,-1.0
INDU,3000,3080,down,down,3084,1699.2,1733.184,1631.232,3101,stop,-1.0
INDU,3360,3440,down,down,3441,1200.31,1224.3162,1152.2975999999999,3448,target,2.0
ISIL,1680,1760,down,down,1761,1776.71,1812.2442,1705.6416,1768,target,2.0
ISL,2560,2640,sequential,down,2641,60.73,61.9446,58.300799999999995,2642,stop,-1.0
ISL,2840,2920,sequential,up,2932,44.99,44.0902,46.78960000000001,2933,stop,-1.0
ISL,3320,3400,sequential,down,3405,77.45,78.99900000000001,74.352,3408,stop,-1.0
ITTEFAQ,120,200,down,down,201,19.91,20.3082,19.113599999999998,202,stop,-1.0
JGICL,400,480,up,up,481,140.0579,137.25674199999997,145.660216,482,stop,-1.0
JGICL,1120,1200,up,up,1201,37.1271,36.384558,38.612184,1203,stop,-1.0
JGICL,3640,3720,sequential,up,3721,82.21,80.5658,85.49839999999999,3733,target,2.0
JLICL,1560,1640,up,up,1641,82.5,80.85,85.8,1642,stop,-1.0
JLICL,4280,4360,up,up,4361,178.3,174.734,185.43200000000002,4362,stop,-1.0
JSBL,160,240,sequential,down,242,18.8,19.176000000000002,18.048,244,stop,-1.0
JSBL,1200,1280,up,up,1281,5.51,5.3998,5.7304,1283,stop,-1.0
JSBL,1600,1680,sequential,down,1684,4.09,4.1718,3.9263999999999997,1685,stop,-1.0
JSBL,3240,3320,sequential,up,3321,7.15,7.007000000000001,7.436000000000001,3322,stop,-1.0
JSBL,3360,3440,down,down,3448,5.25,5.355,5.04,3449,stop,-1.0
JUBS,560,640,sequential,down,641,5.41,5.5182,5.1936,642,target,2.0
JVDC,1120,1200,up,up,1201,30.3,29.694,31.512,1202,target,2.0
KAPCO,1680,1760,up,up,1762,45.45,44.541000000000004,47.26800000000001,1763,stop,-1.0
KAPCO,2440,2520,sequential,down,2532,86.27,87.9954,82.8192,2543,stop,-1.0
KAPCO,2480,2560,sequential,up,2561,93.68,91.80640000000001,97.42720000000001,2564,target,2.0
KAPCO,4200,4280,up,up,4282,27.7,27.145999999999997,28.808,4285,target,2.0
KAPCO,5160,5240,up,up,5241,28.26,27.6948,29.390400000000003,5250,stop,-1.0
KEL,3160,3240,sequential,up,3242,6.75,6.615,7.0200000000000005,3244,target,2.0
KML,1280,1360,sequential,up,1373,17.6,17.248,18.304000000000002,1374,target,2.0
KOHC,2120,2200,sequential,up,2201,122.65,120.197,127.55600000000001,2202,stop,-1.0
KOHC,3800,3880,whipsaw,down,3883,212.66,216.9132,204.15359999999998,3884,stop,-1.0
KOHC,4240,4320,down,down,4327,155.77,158.8854,149.5392,4328,stop,-1.0
KOHC,4840,4920,down,down,4922,373.07,380.5314,358.1472,4923,stop,-1.0
KOHE,2440,2520,up,up,2540,32.6888,32.035024,33.996352,2553,stop,-1.0
