symbol,start,end,leg_index,entry_bar,entry_price,lfd_level,r_lfd_denom,exit_bar,exit_type,realized_R
EPQL,960,1040,0,1053,16.8362,16.3721,0.46410000000000196,1061,lfd,-1.0
EPQL,960,1040,1,1062,16.3834,16.1853,0.19810000000000016,1072,lfd,-1.0
EPQL,960,1040,2,1079,15.8458,15.1666,0.6791999999999998,1094,lfd,-1.0
EPQL,960,1040,3,1110,14.7649,14.3744,0.3905000000000012,1112,lfd,-1.0
EXIDE,4160,4240,0,4242,832.81,900.0,67.19000000000005,4332,horizon,3.040184551272508
FASM,120,200,0,201,34.3,36.1,1.8000000000000043,291,horizon,0.8611111111111075
FASM,360,440,0,441,47.99,47.35,0.6400000000000006,531,horizon,57.82812499999994
FATIMA,1240,1320,0,1323,40.68,39.25,1.4299999999999997,1413,horizon,3.965034965034967
FCEPL,720,800,0,808,99.36,98.1,1.2600000000000051,898,horizon,14.626984126984073
FCEPL,2920,3000,0,3004,59.23,55.1,4.1299999999999955,3094,horizon,2.937046004842619
FCEPL,3280,3360,0,3384,89.79,84.05,5.740000000000009,3395,lfd,-1.0
FCEPL,3280,3360,1,3398,86.8,74.0,12.799999999999997,3488,horizon,0.37499999999999983
FECTC,3520,3600,0,3606,35.35,34.55,0.8000000000000043,3616,lfd,-1.0
FECTC,3520,3600,1,3619,35.2,33.81,1.3900000000000006,3642,lfd,-1.0
FECTC,3520,3600,2,3666,30.85,30.0,0.8500000000000014,3667,lfd,-1.0
FECTC,3520,3600,3,3668,30.65,30.0,0.6499999999999986,3673,lfd,-1.0
FECTC,4240,4320,0,4323,30.0,33.3,3.299999999999997,4345,lfd,-1.0
FECTC,4240,4320,1,4387,30.31,33.45,3.140000000000004,4393,lfd,-1.0
FFC,400,480,0,481,57.0515,58.0206,0.9691000000000045,514,lfd,-1.0
FFC,400,480,1,518,58.12,58.6418,0.521800000000006,523,lfd,-1.0
FFC,400,480,2,524,56.9024,58.6418,1.7394000000000034,576,lfd,-1.0
FFC,400,480,3,577,58.0206,58.94,0.919399999999996,580,lfd,-1.0
FFC,3520,3600,0,3603,95.68,93.4,2.280000000000001,3693,horizon,4.311403508771927
FLYNG,160,240,0,241,11.8,12.15,0.34999999999999964,331,horizon,20.571428571428594
FLYNG,1320,1400,0,1401,3.41,3.72,0.31000000000000005,1422,lfd,-1.0
FLYNG,1320,1400,1,1427,3.5,3.75,0.25,1429,lfd,-1.0
FLYNG,1320,1400,2,1430,3.49,3.75,0.2599999999999998,1456,lfd,-1.0
FLYNG,1320,1400,3,1526,3.74,3.97,0.22999999999999998,1532,lfd,-1.0
FLYNG,3680,3760,0,3761,6.66,6.85,0.1899999999999995,3851,horizon,4.4210526315789584
GATM,1000,1080,0,1081,22.43,21.4,1.0300000000000011,1111,lfd,-1.0
GATM,1000,1080,1,1112,22.06,21.35,0.7099999999999973,1186,lfd,-1.0
GATM,1000,1080,2,1188,21.92,21.15,0.7700000000000031,1189,lfd,-1.0
GATM,1000,1080,3,1193,22.57,21.5,1.0700000000000003,1283,horizon,26.644859813084103
GFIL,1720,1800,0,1813,3.46,4.2,0.7400000000000002,1846,lfd,-1.0
GFIL,1720,1800,1,1848,3.55,4.55,1.0,1938,horizon,-0.3500000000000001
GHGL,40,120,0,128,67.05,73.0,5.950000000000003,184,lfd,-1.0
GHGL,3200,3280,0,3292,44.99,48.05,3.059999999999995,3382,horizon,1.3790849673202632
