sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
PAPER & BOARD,CEPB,2200,2280,ascending,sequential,down,4.0,2286,51.52,53.58,52.0,False,53.58,-1.0,0.0
PAPER & BOARD,CEPB,2520,2600,ascending,sequential,up,4.0,2604,53.47,52.8,53.2,False,52.8,-1.0,0.0
TEXTILE COMPOSITE,CHBL,1560,1640,symmetrical,sequential,down,4.0,1662,1.51,1.8,1.9,True,1.9,-1.3448275862068964,-0.34482758620689635
CEMENT,CHCC,1120,1200,symmetrical,sequential,up,4.0,1202,10.3699,10.2683,10.1595,True,10.1595,-2.070866141732295,-1.0708661417322949
CEMENT,CHCC,1560,1640,descending,sequential,down,3.0,1660,5.3047,5.6385,5.3627,False,5.6385,-1.0,0.0
CEMENT,CHCC,2280,2360,symmetrical,up,up,1.0,2376,58.85,58.04,59.4,False,58.04,-1.0,0.0
REFINERY,CNERGY,2840,2920,descending,sequential,up,4.0,2944,24.29,23.36,23.9,False,23.36,-1.0000000000000002,-2.220446049250313e-16
PAPER & BOARD,CPPL,3160,3240,symmetrical,up,up,2.0,3291,168.95,160.1,162.1,False,160.1,-1.0,0.0
TEXTILE COMPOSITE,CRTM,2240,2320,descending,sequential,down,3.0,2339,27.5,28.49,28.05,False,28.49,-1.0,0.0
TEXTILE COMPOSITE,CRTM,3560,3640,descending,up,up,1.0,3649,18.68,18.0,18.4,False,18.0,-1.0,0.0
ENGINEERING,CSAP,4920,5000,descending,up,up,1.0,5024,106.0,103.8,105.02,False,103.8,-1.0,0.0
INSURANCE,CYAN,1840,1920,symmetrical,sequential,up,4.0,1930,59.0189,58.2595,58.2661,False,58.2595,-1.0,0.0
INSURANCE,CYAN,4120,4200,descending,up,up,1.0,4206,24.01,23.75,24.8,False,23.75,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,DAAG,2240,2320,descending,down,down,4.0,2326,94.01,101.86,101.0,False,101.86,-1.0,0.0
CEMENT,DBCI,1840,1920,symmetrical,sequential,down,4.0,1923,2.23,2.29,2.25,False,2.29,-1.0000000000000009,-8.881784197001252e-16
CEMENT,DCL,680,760,symmetrical,up,up,4.0,778,15.6,15.15,15.65,False,15.15,-1.0,0.0
CEMENT,DCL,1560,1640,ascending,down,down,4.0,1670,1.3,1.41,1.23,False,1.41,-1.0000000000000007,-6.661338147750939e-16
CEMENT,DCL,4760,4840,ascending,up,up,4.0,4867,9.24,8.61,9.36,False,8.61,-1.0,0.0
REAL ESTATE INVESTMENT TRUST,DCR,1240,1320,descending,down,down,4.0,1342,10.51,10.8,10.6,False,10.8,-1.0,0.0
AUTOMOBILE ASSEMBLER,DFML,3840,3920,ascending,down,down,4.0,3931,6.82,7.03,6.98,False,7.03,-1.0000000000000002,-2.220446049250313e-16
CEMENT,DGKC,680,760,descending,up,up,1.0,824,95.0,91.9,94.5,False,91.9,-1.0,0.0
CEMENT,DGKC,1480,1560,symmetrical,down,down,1.0,1617,21.86,22.97,23.7,True,23.7,-1.6576576576576583,-0.6576576576576583
CEMENT,DNCC,240,320,ascending,down,down,4.0,327,0.1817,0.198,0.1902,False,0.198,-1.0000000000000007,-6.661338147750939e-16
CEMENT,DNCC,1440,1520,symmetrical,sequential,up,4.0,1525,6.15,5.45,5.42,True,5.42,-1.0428571428571431,-0.04285714285714315
CHEMICAL,DOL,680,760,descending,down,down,4.0,762,4.61,4.65,4.69,True,4.69,-2.0000000000000018,-1.0000000000000018
CHEMICAL,DOL,3200,3280,descending,whipsaw,up,4.0,3283,23.16,22.85,22.03,True,22.03,-3.6451612903225925,-2.6451612903225925
CHEMICAL,DOL,3560,3640,symmetrical,down,down,2.0,3731,24.55,26.0,25.8,False,26.0,-1.0,0.0
ENGINEERING,DSL,2280,2360,ascending,whipsaw,down,4.0,2364,11.31,12.35,11.87,False,12.35,-1.0,0.0
ENGINEERING,DSL,3080,3160,ascending,sequential,down,3.0,3186,4.42,4.7,4.24,False,4.7,-1.0000000000000002,-2.220446049250313e-16
ENGINEERING,DSL,4360,4440,descending,down,down,1.0,4471,5.92,6.25,5.83,False,6.25,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,DYNO,400,480,ascending,sequential,down,4.0,482,18.0,18.3,18.0,False,18.3,-1.0,0.0
CHEMICAL,DYNO,880,960,descending,down,down,4.0,995,9.61,10.25,9.55,False,10.25,-1.0,0.0
MISCELLANEOUS,ECOP,280,360,descending,down,down,4.0,377,24.715,24.7889,24.6041,False,24.7889,-1.0000000000000007,-6.661338147750939e-16
MISCELLANEOUS,ECOP,1040,1120,ascending,down,down,4.0,1124,4.88,5.16,5.0,False,5.16,-1.0000000000000002,-2.220446049250313e-16
FERTILIZER,EFERT,520,600,descending,down,down,1.0,619,66.58,68.25,67.12,False,68.25,-1.0,0.0
FERTILIZER,EFERT,1320,1400,ascending,up,up,4.0,1405,69.02,67.0,67.89,False,67.0,-1.0,0.0
INSURANCE,EFUL,760,840,descending,sequential,down,4.0,842,104.5,106.0,105.0,False,106.0,-1.0,0.0
