sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,60,False,-6.8775306613461655,-192.32613082885098,3.575973078492598
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,90,False,-11.495804236840563,-321.4734558820129,3.575973078492598
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,10,False,1.8053445348109758,79.7021326157946,2.2651144650214916
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,20,False,-8.115113057467157,-358.26503175812616,2.2651144650214916
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,30,False,-12.804242261745156,-565.2801418856184,2.2651144650214916
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,60,False,-27.06229332380015,-1194.7428592110193,2.2651144650214916
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,90,False,-68.09068430303572,-3006.05931199109,2.2651144650214916
FERTILIZER,AHCL,3240,3320,descending,down,10,False,6.24024960998439,220.3445595674086,2.8320416089399063
FERTILIZER,AHCL,3240,3320,descending,down,20,False,6.14664586583463,217.03939117389774,2.8320416089399063
FERTILIZER,AHCL,3240,3320,descending,down,30,False,5.397815912636497,190.59804402580843,2.8320416089399063
FERTILIZER,AHCL,3240,3320,descending,down,60,False,10.015600624024954,353.6530181056911,2.8320416089399063
FERTILIZER,AHCL,3240,3320,descending,down,90,False,6.396255850234001,225.8531735565939,2.8320416089399063
INSURANCE,AICL,1800,1880,ascending,sequential,10,False,6.271777003484331,185.28115457806518,3.3850053545741594
INSURANCE,AICL,1800,1880,ascending,sequential,20,False,2.3954703832752697,70.76710765134446,3.3850053545741594
INSURANCE,AICL,1800,1880,ascending,sequential,30,False,-4.48606271777002,-132.52749251069872,3.3850053545741594
INSURANCE,AICL,1800,1880,ascending,sequential,60,False,2.8890824622532074,85.34942074313675,3.3850053545741594
INSURANCE,AICL,1800,1880,ascending,sequential,90,False,3.9634146341463476,117.0873962958606,3.3850053545741594
INSURANCE,AICL,3800,3880,descending,up,10,False,2.8169014084506925,181.06027792613605,1.5557810032744197
INSURANCE,AICL,3800,3880,descending,up,20,False,1.0904134484325236,70.08784951979443,1.5557810032744197
INSURANCE,AICL,3800,3880,descending,up,30,False,-4.588823262153573,-294.95303339580397,1.5557810032744197
INSURANCE,AICL,3800,3880,descending,up,60,False,-5.883689232167204,-378.1823547005604,1.5557810032744197
INSURANCE,AICL,3800,3880,descending,up,90,False,-9.086778736937754,-584.0654126649574,1.5557810032744197
INSURANCE,AICL,3920,4000,ascending,down,10,False,-3.404791929382097,-65.4625728671451,5.201127576045705
INSURANCE,AICL,3920,4000,ascending,down,20,False,-3.5308953341740197,-67.88711260296515,5.201127576045705
INSURANCE,AICL,3920,4000,ascending,down,30,False,-1.1349306431273716,-21.820857622381816,5.201127576045705
