symbol,date,close_before,close_after,pct_change,peer_avg_change,magnitude_category,likely_action,peers_used,sector,review_status
KOHP,2013-10-30,2.95,2.65,-10.17,-0.1,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2013-12-02,2.7,2.4,-11.11,0.78,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-04-07,3.67,3.3,-10.08,0.14,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-04-18,3.39,3.05,-10.03,1.06,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-05-14,3.26,3.0,-7.98,0.24,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-06-18,3.08,2.8,-9.09,-0.19,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-07-01,3.28,2.76,-15.85,1.8,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-07-10,2.98,2.7,-9.4,0.43,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-08-21,2.3,2.12,-7.83,1.99,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-09-17,2.64,2.4,-9.09,0.72,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-10-15,2.78,2.5,-10.07,-0.22,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2014-12-29,3.01,2.72,-9.63,-0.88,DROP_OTHER,Rights/Dividend,13,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-02-03,3.49,3.21,-8.02,-0.53,DROP_OTHER,Rights/Dividend,14,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-03-03,2.8,2.56,-8.57,0.71,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-03-09,2.83,2.6,-8.13,-0.86,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-03-26,2.54,2.26,-11.02,-3.81,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-04-07,3.1,2.76,-10.97,-1.21,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-04-13,3.0,2.75,-8.33,-1.74,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-04-15,2.99,2.65,-11.37,0.08,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-05-04,3.13,2.82,-9.9,-1.14,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-05-11,2.85,2.6,-8.77,-3.62,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-07-30,6.16,5.26,-14.61,-1.18,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-09-11,5.2,4.8,-7.69,-0.09,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-10-05,5.0,4.48,-10.4,-1.69,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-12-01,3.69,3.34,-9.49,-2.29,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2015-12-14,3.6,3.2,-11.11,-0.82,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-01-04,3.48,3.15,-9.48,-0.84,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-01-20,3.0,2.76,-8.0,-0.8,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-03-02,4.15,3.81,-8.19,0.59,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-05-31,7.82,6.97,-10.87,1.01,DROP_OTHER,Rights/Dividend,13,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-09-21,8.21,7.49,-8.77,-1.65,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-10-27,7.82,6.91,-11.64,-2.14,DROP_OTHER,Rights/Dividend,13,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2016-12-05,11.84,10.86,-8.28,-0.17,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-06-29,7.72,7.02,-9.07,0.07,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-07-11,7.55,6.75,-10.6,-4.18,DROP_OTHER,Rights/Dividend,13,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-08-15,7.44,6.8,-8.6,-2.27,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-08-24,6.95,6.31,-9.21,-0.9,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-10-09,6.0,5.54,-7.67,-0.74,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-10-16,5.34,4.93,-7.68,1.02,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-07,11.96,10.96,-8.36,-3.52,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-08,10.96,9.96,-9.12,0.36,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-11,9.96,8.96,-10.04,-2.33,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-12,8.96,7.96,-11.16,0.54,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-13,7.96,6.96,-12.56,2.0,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-14,6.96,5.96,-14.37,-2.2,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-18,5.71,4.79,-16.11,-1.33,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-19,4.79,3.96,-17.33,-2.29,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2017-12-21,3.96,3.04,-23.23,-1.47,DROP_25,Bonus 1:3,12,POWER GENERATION & DISTRIBUTION,PENDING
