sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,lfd_hit_bar,rolling_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling
ENGINEERING,CSAP,4920,5000,descending,up,up,5011,1.0,106.0,103.8,2.200000000000003,ok,101.47,4.530000000000001,5024.0,5029.0,5024,False,False,-1.0,-0.45916114790286927
INSURANCE,CYAN,640,720,descending,up,up,721,1.0,10.1499,10.133,0.01690000000000147,skipped_risk_gt_6pct,9.4,,,,811,False,True,405.3372781064736,
INSURANCE,CYAN,1840,1920,symmetrical,sequential,up,1928,4.0,59.0189,58.2595,0.7593999999999994,ok,57.25,1.7689000000000021,1930.0,1932.0,1930,False,False,-1.0,-0.47000961049239703
INSURANCE,CYAN,4120,4200,descending,up,up,4201,1.0,24.01,23.75,0.26000000000000156,ok,22.88,1.1300000000000026,4206.0,,4206,False,False,-1.0,-0.21238938053097473
CHEMICAL,DAAG,840,920,symmetrical,up,up,923,2.0,18.9,17.8,1.0999999999999979,skipped_risk_gt_6pct,16.94,,929.0,,929,False,False,-1.0,
CHEMICAL,DAAG,2240,2320,descending,down,down,2322,4.0,94.01,101.86,7.849999999999994,skipped_risk_gt_6pct,103.97,,2326.0,,2326,False,False,-1.0,
CEMENT,DBCI,1840,1920,symmetrical,sequential,down,1922,4.0,2.23,2.29,0.06000000000000005,skipped_risk_gt_6pct,2.37,,1923.0,,1923,False,False,-1.0,
CEMENT,DCL,680,760,symmetrical,up,up,768,4.0,15.6,15.15,0.4499999999999993,ok,14.75,0.8499999999999996,778.0,779.0,778,False,False,-1.0,-0.47058823529411825
CEMENT,DCL,1560,1640,ascending,down,down,1641,4.0,1.3,1.41,0.10999999999999988,skipped_risk_gt_6pct,1.42,,1670.0,,1670,False,False,-1.0,
CEMENT,DCL,2520,2600,ascending,down,down,2605,1.0,14.79,15.39,0.6000000000000014,skipped_risk_gt_6pct,16.01,,,,2695,False,True,4.416666666666654,
CEMENT,DCL,4760,4840,ascending,up,up,4854,4.0,9.24,8.61,0.6300000000000008,no_valid_consolidation,,,4867.0,,4867,False,False,-1.0,
REAL ESTATE INVESTMENT TRUST,DCR,1240,1320,descending,down,down,1331,4.0,10.51,10.8,0.2900000000000009,ok,10.91,0.40000000000000036,1342.0,1351.0,1342,False,False,-1.0,-0.6
AUTOMOBILE ASSEMBLER,DFML,3840,3920,ascending,down,down,3930,4.0,6.82,7.03,0.20999999999999996,skipped_risk_gt_6pct,7.54,,3931.0,,3931,False,False,-1.0,
CEMENT,DGKC,680,760,descending,up,up,764,1.0,95.0,91.9,3.0999999999999943,ok,90.98,4.019999999999996,824.0,830.0,824,False,False,-1.0,-0.5497512437810935
CEMENT,DGKC,1480,1560,symmetrical,down,down,1573,1.0,21.86,22.97,1.1099999999999994,skipped_risk_gt_6pct,23.73,,1617.0,,1617,False,False,-1.0,
CEMENT,DGKC,2920,3000,ascending,down,down,3015,3.0,227.28,242.0,14.719999999999999,skipped_risk_gt_6pct,249.82,,,,3105,False,True,5.752717391304349,
CEMENT,DNCC,240,320,ascending,down,down,324,4.0,0.1817,0.198,0.01630000000000001,no_valid_consolidation,,,327.0,,327,False,False,-1.0,
CEMENT,DNCC,1440,1520,symmetrical,sequential,up,1522,4.0,6.15,5.45,0.7000000000000002,skipped_risk_gt_6pct,5.15,,1525.0,,1525,False,False,-1.0,
CEMENT,DNCC,2160,2240,symmetrical,sequential,up,2241,4.0,18.49,17.8,0.6899999999999977,no_valid_consolidation,,,2242.0,,2242,False,False,-1.0,
CHEMICAL,DOL,680,760,descending,down,down,761,4.0,4.61,4.65,0.040000000000000036,skipped_risk_gt_6pct,5.04,,762.0,,762,False,False,-1.0,
CHEMICAL,DOL,3200,3280,descending,whipsaw,up,3282,4.0,23.16,22.85,0.3099999999999987,skipped_risk_gt_6pct,21.2,,3283.0,,3283,False,False,-1.0,
CHEMICAL,DOL,3560,3640,symmetrical,down,down,3646,2.0,24.55,26.0,1.4499999999999993,skipped_risk_gt_6pct,26.93,,3731.0,,3731,False,False,-1.0,
ENGINEERING,DSL,2280,2360,ascending,whipsaw,down,2362,4.0,11.31,12.35,1.0399999999999991,skipped_risk_gt_6pct,12.61,,2364.0,,2364,False,False,-1.0,
ENGINEERING,DSL,3080,3160,ascending,sequential,down,3172,3.0,4.42,4.7,0.28000000000000025,skipped_risk_gt_6pct,4.98,,3186.0,,3186,False,False,-1.0,
