sector,symbol,start,end,kind,outcome,type,boundary_touched,boundary_breached,lfd_touched
CHEMICAL,NICL,2560,2640,ascending,down,1,False,False,False
TEXTILE COMPOSITE,NML,3400,3480,ascending,down,4,False,False,True
REFINERY,NRL,2360,2440,ascending,sequential,4,True,True,True
CHEMICAL,NRSL,4720,4800,ascending,sequential,4,True,True,True
OIL & GAS MARKETING COMPANIES,OBOY,440,520,symmetrical,down,4,True,True,True
OIL & GAS EXPLORATION COMPANIES,OGDC,360,440,descending,up,4,True,False,True
OIL & GAS EXPLORATION COMPANIES,OGDC,480,560,ascending,up,4,True,True,True
OIL & GAS EXPLORATION COMPANIES,OGDC,520,600,ascending,down,4,True,False,True
OIL & GAS EXPLORATION COMPANIES,OGDC,2400,2480,descending,down,1,False,False,False
OIL & GAS EXPLORATION COMPANIES,OGDC,3760,3840,ascending,down,4,True,False,True
MISCELLANEOUS,PABC,480,560,symmetrical,up,1,False,False,False
PROPERTY,PACE,2240,2320,symmetrical,up,1,False,False,False
