sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite
OIL & GAS EXPLORATION COMPANIES,POL,1720,1800,descending,up,up,1809,1.0,375.35,368.99,6.360000000000014,ok,355.41,19.939999999999998,363.8333925686591,11.516607431340901,,,,1899,False,True,7.855345911949666,2.505516549648946,4.338083094161962
OIL & GAS EXPLORATION COMPANIES,POL,2440,2520,descending,sequential,up,2525,3.0,388.12,380.8,7.319999999999993,ok,370.76,17.360000000000014,364.39694269905283,23.723057300947175,2552.0,2553.0,2557.0,2552,False,False,-1.0,-0.6186635944700462,-0.4527241098714203
CEMENT,POWER,160,240,ascending,sequential,down,241,3.0,16.6368,17.4512,0.8143999999999991,skipped_risk_gt_6pct,19.04,,19.03866788154897,2.40186788154897,254.0,,264.0,254,False,False,-1.0,,0.11299539083097834
CEMENT,POWER,4560,4640,descending,up,up,4659,4.0,5.52,5.22,0.2999999999999998,skipped_risk_gt_6pct,5.04,,5.01194196834637,0.5080580316536292,4664.0,,4676.0,4664,False,False,-1.0,,-0.43302139970889336
CEMENT,POWER,4920,5000,symmetrical,up,up,5001,1.0,15.65,15.0,0.6500000000000004,skipped_risk_gt_6pct,14.56,,14.276334355828212,1.3736656441717887,,,,5091,False,True,3.2769230769230764,,1.5505956700869676
CEMENT,POWERPS,40,120,symmetrical,up,up,130,4.0,11.0,10.58,0.41999999999999993,ok,10.39,0.6099999999999994,10.288520758867197,0.7114792411328033,142.0,142.0,142.0,142,True,False,-1.0,-1.0,-1.0
CEMENT,POWERPS,400,480,symmetrical,up,up,481,4.0,30.3,28.77,1.5300000000000011,no_valid_consolidation,,,23.93898720682303,6.361012793176972,484.0,,,484,False,False,-1.0,,-0.10061290879441169
OIL & GAS EXPLORATION COMPANIES,PPL,400,480,ascending,sequential,down,483,4.0,230.5,243.5,13.0,skipped_risk_gt_6pct,247.55,,247.67013170468238,17.170131704682376,499.0,,499.0,499,True,False,-1.0,,-1.0
OIL & GAS EXPLORATION COMPANIES,PPL,520,600,ascending,down,down,613,4.0,262.45,268.5,6.050000000000011,ok,271.19,8.740000000000009,273.6308773903262,11.180877390326202,615.0,617.0,617.0,615,False,False,-1.0,-0.12013729977116823,-0.09391034024829581
OIL & GAS EXPLORATION COMPANIES,PPL,2760,2840,ascending,down,down,2856,4.0,156.48,160.9,4.420000000000016,skipped_risk_gt_6pct,167.66,,170.9174937468734,14.4374937468734,2862.0,,2899.0,2862,False,False,-1.0,,-0.3858010328978509
