symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
BAFL,3040,3120,down,3139,2017-11-28,breakout_idx
BAFL,3840,3920,sequential,3921,2021-01-25,breakout_idx (first chronological)
BAFL,4520,4600,up,4608,2023-11-06,breakout_idx
BAHL,4120,4200,down,4208,2022-03-17,breakout_idx
BCL,760,840,down,845,2011-09-09,breakout_idx
BCL,3400,3480,up,3481,2024-12-04,breakout_idx
BECO,400,480,up,496,2022-05-09,breakout_idx
BERG,2280,2360,down,2362,2015-12-01,breakout_idx
BERG,2840,2920,down,2934,2018-04-06,breakout_idx
BGL,3800,3880,whipsaw,3887,2022-11-28,breakout_idx (first chronological)
BHAT,1160,1240,up,1250,2025-06-27,breakout_idx
BHAT,1240,1320,down,1321,2025-10-08,breakout_idx
BIPL,2240,2320,sequential,2327,2015-10-13,breakout_idx (first chronological)
BIPL,3920,4000,up,4001,2022-11-18,breakout_idx
BNL,1280,1360,whipsaw,1361,2024-02-13,breakout_idx (first chronological)
BOK,440,520,down,530,2008-03-06,breakout_idx
BOK,3680,3760,down,3773,2022-03-17,breakout_idx
BOK,4280,4360,sequential,4363,2025-02-21,breakout_idx (first chronological)
BOK,4600,4680,up,4702,2026-07-10,breakout_idx
BOP,3840,3920,sequential,3921,2021-01-18,breakout_idx (first chronological)
BPL,720,800,down,802,2011-02-10,breakout_idx
BWCL,1000,1080,whipsaw,1081,2015-04-16,breakout_idx (first chronological)
BWHL,0,80,up,81,2005-08-22,breakout_idx
BWHL,1400,1480,up,1492,2015-08-05,breakout_idx
BWHL,1880,1960,down,1961,2018-05-30,breakout_idx
BWHL,2280,2360,sequential,2373,2021-08-31,breakout_idx (first chronological)
CENI,3480,3560,up,3595,2024-08-28,breakout_idx
CEPB,840,920,down,921,2009-06-09,breakout_idx
CEPB,1080,1160,sequential,1179,2010-06-30,breakout_idx (first chronological)
CEPB,2200,2280,sequential,2284,2014-12-29,breakout_idx (first chronological)
CEPB,2520,2600,sequential,2601,2016-04-11,breakout_idx (first chronological)
CHBL,360,440,up,441,2007-05-18,breakout_idx
CHBL,1560,1640,sequential,1659,2012-07-25,breakout_idx (first chronological)
CHCC,1120,1200,sequential,1201,2010-02-09,breakout_idx (first chronological)
CHCC,1560,1640,sequential,1642,2011-12-07,breakout_idx (first chronological)
CHCC,2280,2360,up,2361,2014-10-31,breakout_idx
CLOV,1480,1560,up,1561,2014-09-08,breakout_idx
CNERGY,2840,2920,sequential,2937,2017-01-19,breakout_idx (first chronological)
CPPL,3160,3240,up,3246,2018-12-20,breakout_idx
CPPL,4480,4560,down,4561,2024-05-22,breakout_idx
CRTM,2240,2320,sequential,2326,2017-02-20,breakout_idx (first chronological)
CRTM,3560,3640,up,3641,2022-08-16,breakout_idx
CSAP,4920,5000,up,5011,2025-09-12,breakout_idx
CYAN,640,720,up,721,2009-09-16,breakout_idx
CYAN,1840,1920,sequential,1928,2015-02-06,breakout_idx (first chronological)
CYAN,4120,4200,up,4201,2024-10-22,breakout_idx
DAAG,840,920,up,923,2017-08-07,breakout_idx
DAAG,2240,2320,down,2322,2025-10-24,breakout_idx
DBCI,1840,1920,sequential,1922,2013-05-07,breakout_idx (first chronological)
DCL,680,760,up,768,2008-02-21,breakout_idx
DCL,1560,1640,down,1641,2011-12-12,breakout_idx
DCL,2520,2600,down,2605,2015-11-02,breakout_idx
DCL,4760,4840,up,4854,2024-12-02,breakout_idx
DCR,1240,1320,down,1331,2020-11-17,breakout_idx
DFML,3840,3920,down,3930,2021-01-28,breakout_idx
DFML,3880,3960,down,3961,2021-03-15,breakout_idx
DGKC,680,760,up,764,2008-02-12,breakout_idx
DGKC,1480,1560,down,1573,2011-08-03,breakout_idx
DGKC,2920,3000,down,3015,2017-06-01,breakout_idx
DNCC,240,320,down,324,2006-06-13,breakout_idx
DNCC,1440,1520,sequential,1522,2013-07-03,breakout_idx (first chronological)
DNCC,2160,2240,sequential,2241,2017-05-02,breakout_idx (first chronological)
DOL,680,760,down,761,2011-12-09,breakout_idx
DOL,3200,3280,whipsaw,3282,2022-02-11,breakout_idx (first chronological)
DOL,3560,3640,down,3646,2023-08-07,breakout_idx
DOL,4080,4160,sequential,4161,2025-09-08,breakout_idx (first chronological)
DSL,2280,2360,whipsaw,2362,2017-10-13,breakout_idx (first chronological)
DSL,3080,3160,sequential,3172,2021-01-19,breakout_idx (first chronological)
DSL,4000,4080,up,4091,2024-10-14,breakout_idx
DSL,4360,4440,down,4441,2026-03-05,breakout_idx
DYNO,400,480,sequential,481,2008-03-27,breakout_idx (first chronological)
DYNO,880,960,down,992,2011-04-18,breakout_idx
ECOP,280,360,down,376,2006-07-13,breakout_idx
ECOP,1040,1120,down,1121,2009-12-08,breakout_idx
ECOP,4920,5000,up,5004,2026-06-11,breakout_idx
EFERT,520,600,down,601,2016-06-17,breakout_idx
EFERT,1320,1400,up,1401,2019-09-20,breakout_idx
EFUG,1680,1760,up,1763,2012-08-31,breakout_idx
EFUG,1800,1880,up,1881,2013-02-28,breakout_idx
EFUL,120,200,up,201,2006-06-07,breakout_idx
EFUL,760,840,sequential,841,2009-09-03,breakout_idx (first chronological)
EFUL,2760,2840,sequential,2841,2019-04-19,breakout_idx (first chronological)
ENGRO,80,160,up,161,2005-08-23,breakout_idx
ENGRO,1280,1360,up,1381,2010-10-13,breakout_idx
ENGRO,1320,1400,up,1405,2010-11-22,breakout_idx
ENGRO,1840,1920,sequential,1930,2013-01-02,breakout_idx (first chronological)
ENGRO,1880,1960,up,1961,2013-02-18,breakout_idx
ENGRO,4200,4280,down,4284,2022-07-05,breakout_idx
EPCL,2840,2920,sequential,2923,2020-06-11,breakout_idx (first chronological)
EPCLPS,280,360,up,364,2025-11-21,breakout_idx
EPQL,960,1040,up,1053,2019-01-23,breakout_idx
EPQL,1960,2040,sequential,2045,2023-01-30,breakout_idx (first chronological)
EPQL,2040,2120,down,2123,2023-05-26,breakout_idx
EXIDE,4120,4200,up,4221,2025-07-02,breakout_idx
EXIDE,4160,4240,down,4242,2025-07-31,breakout_idx
FABL,600,680,down,681,2007-10-04,breakout_idx
FABL,2040,2120,sequential,2127,2013-11-06,breakout_idx (first chronological)
FASM,120,200,down,201,2009-03-24,breakout_idx
FASM,360,440,up,441,2012-09-03,breakout_idx
FATIMA,1240,1320,up,1323,2015-07-03,breakout_idx
