symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse
MDTL,2021-01-04,pivot,1.55,0.21,0.8,0.933,0.933,0.133,1.85,uptrend,0.0765,0.2059,0.1588,0.3412,
MDTL,2021-01-11,pivot,1.75,3.04,0.667,0.722,0.722,0.056,1.17,uptrend,0.0904,0.117,0.2181,0.2766,-0.0479
MDTL,2022-02-15,pivot,2.39,1.54,0.682,0.864,0.864,0.182,1.11,uptrend,-0.0623,-0.0739,-0.1556,0.0311,-0.2218
MDTL,2022-08-22,pivot,2.08,0.64,0.722,0.722,0.722,0.278,0.77,uptrend,-0.0222,-0.0133,-0.08,0.0622,-0.3733
MDTL,2023-07-14,pivot,1.7,2.94,0.667,0.867,0.867,0.2,0.31,uptrend,-0.0389,-0.0056,-0.0722,0.1,-0.0889
MEBL,2020-06-25,pivot,67.94,0.65,0.8,0.808,0.808,0.008,0.44,uptrend,-0.0145,0.0602,0.0755,0.1316,-0.039
MEBL,2020-08-13,pivot,84.12,0.73,0.783,0.783,0.783,0.061,0.5,uptrend,-0.0059,0.0498,-0.0158,0.093,-0.04
MEBL,2020-11-12,pivot,89.43,0.76,0.717,0.717,0.717,0.283,0.52,uptrend,0.014,0.0457,0.0858,0.1308,-0.0161
MEBL,2020-11-30,pivot,93.45,1.55,0.657,0.904,0.904,0.246,0.25,uptrend,0.03,0.0442,0.1281,0.1445,-0.0102
MEBL,2021-07-05,pivot,115.37,1.16,0.568,0.847,0.847,0.28,1.47,uptrend,0.0298,0.0594,0.1283,0.1311,-0.005
MEBL,2021-07-15,pivot,121.16,0.83,0.877,0.877,0.877,0.014,0.33,uptrend,-0.0122,0.0536,0.1519,0.1707,-0.0203
MEBL,2021-11-10,pivot,140.07,0.02,0.59,0.862,0.862,0.272,0.28,uptrend,0.0092,0.0387,0.008,0.119,-0.028
MEBL,2022-04-22,pivot,140.43,1.73,0.758,0.758,0.758,0.242,0.25,uptrend,-0.0335,-0.0579,-0.0871,0.0292,-0.1074
