sector,symbol,start,end,kind,outcome,variant,type
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,current,4
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,fixed_5,4
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,fixed_10,4
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,trigger,4
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,current,4
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,fixed_5,4
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,fixed_10,4
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,trigger,4
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,current,2
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,fixed_5,2
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,fixed_10,2
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,trigger,2
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,current,4
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,fixed_5,4
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,fixed_10,4
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,trigger,4
CHEMICAL,ARPL,4720,4800,ascending,up,current,4
CHEMICAL,ARPL,4720,4800,ascending,up,fixed_5,4
CHEMICAL,ARPL,4720,4800,ascending,up,fixed_10,4
CHEMICAL,ARPL,4720,4800,ascending,up,trigger,4
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,current,1
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,fixed_5,1
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,fixed_10,1
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,trigger,1
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,current,4
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,fixed_5,4
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,fixed_10,4
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,trigger,4
ENGINEERING,ASL,0,80,ascending,down,current,4
ENGINEERING,ASL,0,80,ascending,down,fixed_5,4
ENGINEERING,ASL,0,80,ascending,down,fixed_10,4
ENGINEERING,ASL,0,80,ascending,down,trigger,4
ENGINEERING,ASL,160,240,descending,whipsaw,current,4
ENGINEERING,ASL,160,240,descending,whipsaw,fixed_5,4
ENGINEERING,ASL,160,240,descending,whipsaw,fixed_10,4
ENGINEERING,ASL,160,240,descending,whipsaw,trigger,4
ENGINEERING,ASL,1320,1400,descending,down,current,1
ENGINEERING,ASL,1320,1400,descending,down,fixed_5,1
ENGINEERING,ASL,1320,1400,descending,down,fixed_10,1
ENGINEERING,ASL,1320,1400,descending,down,trigger,1
ENGINEERING,ASL,2400,2480,descending,down,current,4
ENGINEERING,ASL,2400,2480,descending,down,fixed_5,4
ENGINEERING,ASL,2400,2480,descending,down,fixed_10,4
ENGINEERING,ASL,2400,2480,descending,down,trigger,4
ENGINEERING,ASLPS,360,440,ascending,up,current,1
ENGINEERING,ASLPS,360,440,ascending,up,fixed_5,1
ENGINEERING,ASLPS,360,440,ascending,up,fixed_10,1
ENGINEERING,ASLPS,360,440,ascending,up,trigger,1
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,current,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,fixed_5,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,fixed_10,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,trigger,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,current,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,fixed_5,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,fixed_10,4
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,trigger,3
INSURANCE,ATIL,1320,1400,ascending,up,current,4
INSURANCE,ATIL,1320,1400,ascending,up,fixed_5,3
INSURANCE,ATIL,1320,1400,ascending,up,fixed_10,3
INSURANCE,ATIL,1320,1400,ascending,up,trigger,4
INSURANCE,ATIL,2480,2560,descending,up,current,4
INSURANCE,ATIL,2480,2560,descending,up,fixed_5,4
INSURANCE,ATIL,2480,2560,descending,up,fixed_10,4
INSURANCE,ATIL,2480,2560,descending,up,trigger,4
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,current,4
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,fixed_5,4
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,fixed_10,4
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,trigger,4
REFINERY,ATRL,1440,1520,ascending,sequential,current,4
REFINERY,ATRL,1440,1520,ascending,sequential,fixed_5,3
REFINERY,ATRL,1440,1520,ascending,sequential,fixed_10,3
REFINERY,ATRL,1440,1520,ascending,sequential,trigger,3
REFINERY,ATRL,2560,2640,descending,whipsaw,current,4
REFINERY,ATRL,2560,2640,descending,whipsaw,fixed_5,4
REFINERY,ATRL,2560,2640,descending,whipsaw,fixed_10,4
REFINERY,ATRL,2560,2640,descending,whipsaw,trigger,4
REFINERY,ATRL,2640,2720,ascending,up,current,4
REFINERY,ATRL,2640,2720,ascending,up,fixed_5,4
REFINERY,ATRL,2640,2720,ascending,up,fixed_10,4
REFINERY,ATRL,2640,2720,ascending,up,trigger,4
REFINERY,ATRL,5000,5080,ascending,sequential,current,4
REFINERY,ATRL,5000,5080,ascending,sequential,fixed_5,3
REFINERY,ATRL,5000,5080,ascending,sequential,fixed_10,4
REFINERY,ATRL,5000,5080,ascending,sequential,trigger,3
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,current,4
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,fixed_5,3
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,fixed_10,3
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,trigger,3
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,current,1
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,fixed_5,1
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,fixed_10,1
