sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,opposite_stop,r_opposite_denom,first_breach_idx,switched,switch_bar,exit_bar,exit_stop,horizon_reached,realized_R_adaptive_fixed,realized_R_adaptive_rebased,realized_R_lfd_static,realized_R_opposite_static
TEXTILE COMPOSITE,GATM,1000,1080,ascending,up,up,1081,2.0,22.43,21.4,1.0300000000000011,20.2003648712113,2.2296351287887006,,False,,1111,lfd,False,-1.0,-1.0,-1.0,-0.2377070549152746
TEXTILE COMPOSITE,GFIL,1720,1800,ascending,down,down,1813,1.0,3.46,4.2,0.7400000000000002,5.026780958721704,1.5667809587217043,1847.0,False,,1846,lfd,False,-1.0,-1.0,-1.0,-0.5042185352089934
GLASS & CERAMICS,GHGL,40,120,descending,down,down,128,3.0,67.05,73.0,5.950000000000003,73.97177105184298,6.921771051842981,152.0,True,152.0,185,opposite,False,-1.1633228658559627,-1.0,-1.0,-0.9824075296725452
GLASS & CERAMICS,GHGL,3200,3280,descending,down,down,3292,3.0,44.99,48.05,3.059999999999995,49.27678488820355,4.286784888203549,3306.0,True,3306.0,3382,,True,1.3790849673202632,0.9844207512284253,1.3790849673202632,0.9844207512284252
GLASS & CERAMICS,GHGL,3880,3960,ascending,down,down,3991,2.0,41.26,43.0,1.740000000000002,43.716541353383455,2.4565413533834572,4022.0,False,,4017,lfd,False,-1.0,-1.0,-1.0,-0.7123836924583745
AUTOMOBILE ASSEMBLER,GHNI,920,1000,symmetrical,down,down,1001,1.0,7.9702,8.9671,0.9969000000000001,9.207879802895729,1.2376798028957285,,False,,1091,,True,2.587621627043836,2.587621627043836,2.587621627043836,2.0842224248668013
AUTOMOBILE ASSEMBLER,GHNI,1360,1440,descending,up,up,1447,2.0,3.3355,3.0756,0.2599,3.0152524185899465,0.3202475814100536,,False,,1537,,True,5.344363216621776,5.344363216621776,5.344363216621776,4.337269289854485
AUTOMOBILE ASSEMBLER,GHNI,4040,4120,symmetrical,down,down,4121,2.0,85.99,88.0,2.010000000000005,88.64367571884986,2.6536757188498683,4149.0,False,,4149,lfd,False,-1.0,-1.0,-1.0,-1.0
PHARMACEUTICALS,GLAXO,1480,1560,ascending,down,down,1567,2.0,70.5,73.9,3.4000000000000057,76.25995139732687,5.759951397326873,,False,,1616,lfd,False,-1.0,-1.0,-1.0,-0.0069445030419127
PHARMACEUTICALS,GLAXO,3400,3480,symmetrical,down,down,3481,1.0,116.51,118.99,2.4799999999999898,144.43428880475926,27.924288804759257,,False,,3571,,True,7.431451612903259,7.431451612903259,7.431451612903259,0.6599989037808155
GLASS & CERAMICS,GVGL,720,800,symmetrical,down,down,801,1.0,15.75,16.0,0.25,19.668383713756945,3.9183837137569455,882.0,False,,804,lfd,False,-1.0,-1.0,-1.0,-0.2041658138766
CEMENT,GWLC,2720,2800,descending,down,down,2814,2.0,56.8,58.49,1.6900000000000048,60.845605461020966,4.045605461020969,,False,,2904,,True,16.337278106508826,16.337278106508826,16.337278106508826,6.824689225387836
COMMERCIAL BANKS,HBL,2040,2120,descending,up,up,2123,1.0,176.22,173.0,3.219999999999999,171.53178294573647,4.688217054263532,,False,,2154,lfd,False,-1.0,-1.0,-1.0,-1.0
COMMERCIAL BANKS,HBL,3800,3880,descending,sequential,down,3885,3.0,70.51,72.2,1.6899999999999977,73.39912457055601,2.8891245705560067,3898.0,False,,3898,lfd,False,-1.0,-1.0,-1.0,-1.0
AUTOMOBILE ASSEMBLER,HINO,1840,1920,descending,up,up,1935,3.0,682.2704,637.6039,44.66650000000004,628.5307873180873,53.73961268191272,1952.0,False,,1952,lfd,False,-1.0,-1.0,-1.0,-1.0
COMMERCIAL BANKS,HMB,1080,1160,ascending,down,down,1175,1.0,30.94,33.19,2.2499999999999964,34.424193548387095,3.4841935483870934,,False,,1265,,True,3.9244444444444513,3.9244444444444513,3.9244444444444513,2.534302379409317
COMMERCIAL BANKS,HMB,4960,5040,descending,up,up,5045,2.0,114.36,111.01,3.3499999999999943,110.33178847427688,4.028211525723123,,False,,5086,lfd,False,-1.0,-1.0,-1.0,-0.8043271757975469
OIL & GAS MARKETING COMPANIES,HTL,1560,1640,descending,down,down,1642,2.0,37.46,39.14,1.6799999999999997,39.133739882014,1.6737398820139973,,False,,1732,,True,8.589285714285715,8.589285714285715,8.589285714285715,8.621411340594037
POWER GENERATION & DISTRIBUTION,HUBC,1320,1400,descending,up,up,1401,1.0,36.37,35.65,0.7199999999999989,33.247153854155826,3.1228461458441714,,False,,1491,,True,1.9722222222222276,1.9722222222222276,1.972222222222228,0.4547134036333211
TECHNOLOGY & COMMUNICATION,HUMNL,3640,3720,symmetrical,down,down,3725,2.0,6.57,7.22,0.6499999999999995,7.097058823529409,0.5270588235294085,,False,,3815,,True,1.246153846153848,1.246153846153848,1.246153846153848,1.5368303571428676
PHARMACEUTICALS,IBLHL,3920,4000,symmetrical,down,down,4002,3.0,60.12,63.74,3.6200000000000045,63.85770982433312,3.7377098243331233,4003.0,True,4003.0,4042,opposite,False,-1.0325165260588725,-1.0,-1.0,-1.0
INSURANCE,IGIL,2120,2200,descending,down,down,2203,2.0,47.09,50.9,3.809999999999995,54.75616596002422,7.666165960024216,,False,,2293,,True,2.664041994750661,2.664041994750661,2.664041994750661,1.3239995133066418
TEXTILE COMPOSITE,ILP,800,880,ascending,down,down,881,2.0,60.01,62.0,1.990000000000002,64.00466328643861,3.994663286438616,,False,,971,,True,5.3618090452261224,5.3618090452261224,5.361809045226122,2.6710636754350023
ENGINEERING,ISL,3320,3400,descending,sequential,down,3405,3.0,77.45,82.25,4.799999999999997,81.96877079978532,4.518770799785315,3433.0,True,3433.0,3433,opposite,False,-0.9414105832886079,-1.0,-0.7895833333333322,-1.0
ENGINEERING,ITTEFAQ,120,200,symmetrical,down,down,201,1.0,19.91,21.01,1.1000000000000014,21.53085209825998,1.6208520982599808,,False,,291,,True,4.6363636363636305,4.6363636363636305,4.636363636363631,3.146493134984345
INSURANCE,JGICL,1120,1200,ascending,up,up,1201,2.0,37.1271,35.603,1.5240999999999971,34.11503730081752,3.0120626991824793,,False,,1291,,True,3.7322354176235213,3.7322354176235213,3.732235417623521,1.8885065047098424
INSURANCE,JLICL,4280,4360,descending,up,up,4361,2.0,178.3,167.35,10.950000000000017,160.2619387755102,18.03806122448981,,False,,4382,,True,-0.02648401826484201,-0.02648401826484201,-0.7305936073059349,-0.4435066441142026
COMMERCIAL BANKS,JSBL,3240,3320,descending,sequential,up,3321,3.0,7.15,6.75,0.40000000000000036,6.18155737704918,0.9684426229508203,3346.0,False,,3333,lfd,False,-1.0,-1.0,-1.0,-0.3923825645366066
PROPERTY,JVDC,1120,1200,symmetrical,up,up,1201,1.0,30.3,28.75,1.5500000000000007,25.209679125528915,5.090320874471086,,False,,1249,lfd,False,-1.0,-1.0,-1.0,-0.3693283874163123
POWER GENERATION & DISTRIBUTION,KAPCO,2480,2560,ascending,sequential,up,2561,3.0,93.68,89.11,4.570000000000007,86.19015756687432,7.489842433125688,2599.0,False,,2597,lfd,False,-1.0,-1.0,-1.0,-0.7837281027486602
