symbol,date,bucket,close_t,open_t1,gap_pct,set
SBL,2023-04-27,C_gap_down,8.37,7.51,-10.274790919952205,N20_NOTFIT
SBL,2023-06-21,C_gap_down,7.8,7.5,-3.8461538461538445,N20_NOTFIT
SBL,2023-12-13,C_gap_down,11.0,10.0,-9.090909090909092,N20_NOTFIT
SBL,2024-04-01,A_gap_up,12.0,13.0,8.333333333333332,N20_NOTFIT
SBL,2024-07-04,C_gap_down,12.76,12.3,-3.6050156739811845,N20_NOTFIT
SBL,2024-10-01,C_gap_down,12.76,11.86,-7.0532915360501605,N20_NOTFIT
SBL,2025-04-08,F_flat,10.37,10.37,0.0,N20_NOTFIT
SBL,2025-09-24,A_gap_up,11.01,11.25,2.1798365122615824,N20_NOTFIT
SBL,2025-12-05,A_gap_up,12.61,13.87,9.992069785884219,N20_NOTFIT
SBL,2026-07-02,A_gap_up,10.43,10.68,2.3969319271332696,N20_NOTFIT
SCBPL,2007-07-05,A_gap_up,57.45,59.0,2.6979982593559564,N20_NOTFIT
SCBPL,2007-09-27,A_gap_up,48.8,50.0,2.459016393442629,N20_NOTFIT
SCBPL,2009-04-03,C_gap_down,10.0,9.99,-0.09999999999999788,N20_NOTFIT
SCBPL,2009-08-04,A_gap_up,9.6,9.61,0.10416666666666445,N20_NOTFIT
SCBPL,2010-04-19,F_flat,8.86,8.86,0.0,N20_NOTFIT
SCBPL,2011-03-04,no_open_data,,,,N20_NOTFIT
SCBPL,2011-04-27,C_gap_down,9.56,9.15,-4.288702928870294,N20_NOTFIT
SCBPL,2011-10-28,A_gap_up,8.28,8.3,0.2415458937198231,N20_NOTFIT
SCBPL,2012-02-06,A_gap_up,8.79,8.85,0.6825938566552958,N20_NOTFIT
SCBPL,2012-06-14,C_gap_down,11.96,11.9,-0.5016722408026797,N20_NOTFIT
SCBPL,2012-08-29,F_flat,12.92,12.92,0.0,N20_NOTFIT
SCBPL,2013-01-29,A_gap_up,13.05,13.2,1.1494252873563109,N20_NOTFIT
SCBPL,2013-05-06,A_gap_up,16.1,17.1,6.211180124223602,N20_NOTFIT
SCBPL,2013-08-30,C_gap_down,18.9,18.4,-2.6455026455026456,N20_NOTFIT
SCBPL,2013-11-19,C_gap_down,20.25,19.8,-2.2222222222222188,N20_NOTFIT
SCBPL,2014-04-24,A_gap_up,24.37,24.5,0.5334427574887115,N20_NOTFIT
SCBPL,2015-02-04,A_gap_up,26.12,26.94,3.1393568147013795,N20_NOTFIT
SCBPL,2015-07-24,no_open_data,,,,N20_NOTFIT
SCBPL,2016-04-29,C_gap_down,18.49,18.48,-0.054083288263915695,N20_NOTFIT
SCBPL,2016-06-14,A_gap_up,19.99,20.5,2.5512756378189176,N20_NOTFIT
SCBPL,2016-12-16,A_gap_up,23.51,23.9,1.6588685665674052,N20_NOTFIT
SCBPL,2017-09-26,A_gap_up,25.39,25.65,1.0240252067743127,N20_NOTFIT
SCBPL,2018-01-25,C_gap_down,25.3,24.31,-3.9130434782608776,N20_NOTFIT
SCBPL,2018-03-26,C_gap_down,25.51,25.5,-0.03920031360251495,N20_NOTFIT
SCBPL,2018-11-23,C_gap_down,25.34,24.5,-3.3149171270718223,N20_NOTFIT
SCBPL,2019-08-23,no_open_data,,,,N20_NOTFIT
SCBPL,2020-01-14,A_gap_up,25.78,25.98,0.7757951900698188,N20_NOTFIT
SCBPL,2020-05-21,F_flat,22.9,22.9,0.0,N20_NOTFIT
SCBPL,2021-04-26,C_gap_down,32.73,30.33,-7.332722273143901,N20_NOTFIT
SCBPL,2021-12-30,F_flat,34.9,34.9,0.0,N20_NOTFIT
SCBPL,2022-07-29,C_gap_down,21.79,21.25,-2.4782010096374445,N20_NOTFIT
SCBPL,2023-01-31,C_gap_down,20.66,19.75,-4.404646660212973,N20_NOTFIT
SCBPL,2023-05-02,C_gap_down,22.01,21.5,-2.3171285779191346,N20_NOTFIT
SCBPL,2023-07-21,C_gap_down,22.96,22.1,-3.7456445993031338,N20_NOTFIT
SCBPL,2023-08-24,A_gap_up,25.18,27.07,7.505957108816523,N20_NOTFIT
SCBPL,2023-10-27,C_gap_down,31.21,30.75,-1.4738865748157668,N20_NOTFIT
SCBPL,2024-03-07,A_gap_up,38.98,39.0,0.05130836326321992,N20_NOTFIT
SCBPL,2024-07-01,A_gap_up,67.23,69.9,3.9714413208389137,N20_NOTFIT
SCBPL,2024-12-06,A_gap_up,57.63,58.26,1.0931806350858848,N20_NOTFIT
SCBPL,2025-02-21,C_gap_down,58.96,58.8,-0.2713704206241582,N20_NOTFIT
SCBPL,2025-07-02,F_flat,65.98,65.98,0.0,N20_NOTFIT
SCBPL,2025-08-18,A_gap_up,74.6,77.0,3.217158176943707,N20_NOTFIT
SCBPL,2025-11-28,C_gap_down,65.52,65.5,-0.030525030525024453,N20_NOTFIT
SCBPL,2026-01-05,A_gap_up,71.79,72.49,0.9750661652040514,N20_NOTFIT
SCBPL,2026-02-11,A_gap_up,77.08,77.2,0.15568240788791457,N20_NOTFIT
SCBPL,2026-06-02,A_gap_up,68.76,69.0,0.3490401396160484,N20_NOTFIT
SCHM,2005-11-10,A_gap_up,0.7,0.8,14.285714285714299,N20_NOTFIT
SCHM,2006-04-06,A_gap_up,1.9,1.95,2.631578947368424,N20_NOTFIT
SCHM,2006-07-28,C_gap_down,1.6,1.25,-21.875000000000007,N20_NOTFIT
SCHM,2006-11-23,no_open_data,,,,N20_NOTFIT
SCL,2006-01-25,no_open_data,,,,N20_NOTFIT
SCL,2007-06-06,C_gap_down,23.7033,22.9706,-3.091130770820931,N20_NOTFIT
SCL,2007-11-29,A_gap_up,32.2183,37.2678,15.672769823361262,N20_NOTFIT
SCL,2009-09-24,A_gap_up,47.8313,48.6793,1.7728976632456133,N20_NOTFIT
SCL,2010-04-28,no_open_data,,,,N20_NOTFIT
SCL,2010-07-07,A_gap_up,40.7318,41.626,2.195336321989202,N20_NOTFIT
SCL,2010-11-11,no_open_data,,,,N20_NOTFIT
SCL,2012-05-09,no_open_data,,,,N20_NOTFIT
SCL,2013-05-03,no_open_data,,,,N20_NOTFIT
SCL,2014-01-16,no_open_data,,,,N20_NOTFIT
