symbol,signal_date,lookback_n,strategy_confirmed,status,close_t,trigger_price,next_date,next_open,next_low,gap_pct,gap_pct_raw,gap_vs_trigger_pct,fillable_at_close_t,note
STML,2026-07-20,60,False,Stopped,63.98,63.98,2026-07-21,70.38,57.58,10.00312597686777,10.00312597686777,10.00312597686777,True,
TPLI,2026-07-20,20,True,Stopped,64.08,64.08,2026-07-21,69.0,65.5,7.67790262172285,7.67790262172285,7.67790262172285,False,
TPLI,2026-07-20,60,True,Stopped,64.08,64.08,2026-07-21,69.0,65.5,7.67790262172285,7.67790262172285,7.67790262172285,False,
TPLT,2026-07-20,20,True,Stopped,28.97,28.97,2026-07-21,29.01,28.4,0.13807386952020262,0.13807386952020262,0.13807386952020262,True,
TPLT,2026-07-20,60,True,Stopped,28.97,28.97,2026-07-21,29.01,28.4,0.13807386952020262,0.13807386952020262,0.13807386952020262,True,
UNIC,2026-07-20,20,False,Stopped,14.09,14.09,2026-07-21,14.25,12.68,1.135557132718241,1.135557132718241,1.135557132718241,True,
UNIC,2026-07-20,60,False,Stopped,14.09,14.09,2026-07-21,14.25,12.68,1.135557132718241,1.135557132718241,1.135557132718241,True,
AHTM,2026-07-21,20,False,Stopped,110.23,110.23,2026-07-22,118.9,116.25,7.8653724031570365,7.8653724031570365,7.8653724031570365,False,
AHTM,2026-07-21,60,False,Stopped,110.23,110.23,2026-07-22,118.9,116.25,7.8653724031570365,7.8653724031570365,7.8653724031570365,False,
ASIC,2026-07-21,20,False,Stopped,41.69,41.69,2026-07-22,45.86,45.25,10.002398656752224,10.002398656752224,10.002398656752224,False,
DBCI,2026-07-21,20,True,Stopped,20.58,20.58,2026-07-22,22.64,22.26,10.00971817298349,10.00971817298349,10.00971817298349,False,
DBCI,2026-07-21,60,True,Stopped,20.58,20.58,2026-07-22,22.64,22.26,10.00971817298349,10.00971817298349,10.00971817298349,False,
OML,2026-07-21,20,False,Stopped,130.17,130.17,2026-07-22,139.99,135.0,7.543980947991106,7.543980947991106,7.543980947991106,False,
OML,2026-07-21,60,False,Stopped,130.17,130.17,2026-07-22,139.99,135.0,7.543980947991106,7.543980947991106,7.543980947991106,False,
TPLI,2026-07-21,20,True,Stopped,70.1,70.1,2026-07-22,69.0,65.0,-1.5691868758915755,-1.5691868758915755,-1.5691868758915755,True,
TPLI,2026-07-21,60,True,Stopped,70.1,70.1,2026-07-22,69.0,65.0,-1.5691868758915755,-1.5691868758915755,-1.5691868758915755,True,
AHTM,2026-07-22,20,False,Stopped,121.25,121.25,2026-07-23,129.49,112.02,6.795876288659801,6.795876288659801,6.795876288659801,True,
AHTM,2026-07-22,60,False,Stopped,121.25,121.25,2026-07-23,129.49,112.02,6.795876288659801,6.795876288659801,6.795876288659801,True,
ASIC,2026-07-22,20,False,Stopped,45.41,45.41,2026-07-23,49.95,45.6,9.997797841885061,9.997797841885061,9.997797841885061,False,
DBCI,2026-07-22,20,True,Stopped,22.64,22.64,2026-07-23,23.39,20.38,3.312720848056537,3.312720848056537,3.312720848056537,True,
DBCI,2026-07-22,60,True,Stopped,22.64,22.64,2026-07-23,23.39,20.38,3.312720848056537,3.312720848056537,3.312720848056537,True,
GAMON,2026-07-22,20,False,Stopped,24.18,24.18,2026-07-23,26.6,26.6,10.008271298593886,10.008271298593886,10.008271298593886,False,
GAMON,2026-07-22,60,False,Stopped,24.18,24.18,2026-07-23,26.6,26.6,10.008271298593886,10.008271298593886,10.008271298593886,False,
GOC,2026-07-22,20,False,Stopped,219.28,219.28,2026-07-23,230.0,211.1,4.888726742064939,4.888726742064939,4.888726742064939,True,
GOC,2026-07-22,60,False,Stopped,219.28,219.28,2026-07-23,230.0,211.1,4.888726742064939,4.888726742064939,4.888726742064939,True,
OML,2026-07-22,20,False,Stopped,143.19,143.19,2026-07-23,154.89,149.0,8.170961659333745,8.170961659333745,8.170961659333745,False,
OML,2026-07-22,60,False,Stopped,143.19,143.19,2026-07-23,154.89,149.0,8.170961659333745,8.170961659333745,8.170961659333745,False,
TPLI,2026-07-22,20,True,Stopped,75.16,75.16,2026-07-23,79.99,70.01,6.4262905800957935,6.4262905800957935,6.4262905800957935,True,
TPLI,2026-07-22,60,True,Stopped,75.16,75.16,2026-07-23,79.99,70.01,6.4262905800957935,6.4262905800957935,6.4262905800957935,True,
ASIC,2026-07-23,20,False,Stopped,49.95,49.95,2026-07-24,54.95,53.1,10.01001001001001,10.01001001001001,10.01001001001001,False,
GAMON,2026-07-23,20,False,Stopped,26.6,26.6,2026-07-24,25.2,24.13,-5.2631578947368505,-5.2631578947368505,-5.2631578947368505,True,
GAMON,2026-07-23,60,False,Stopped,26.6,26.6,2026-07-24,25.2,24.13,-5.2631578947368505,-5.2631578947368505,-5.2631578947368505,True,
OML,2026-07-23,20,False,Stopped,157.51,157.51,2026-07-24,161.11,161.11,2.28556917021143,2.28556917021143,2.28556917021143,False,
OML,2026-07-23,60,False,Stopped,157.51,157.51,2026-07-24,161.11,161.11,2.28556917021143,2.28556917021143,2.28556917021143,False,
TPLI,2026-07-23,20,True,Stopped,82.31,82.31,2026-07-24,87.45,83.0,6.2446847284655576,6.2446847284655576,6.2446847284655576,False,
TPLI,2026-07-23,60,True,Stopped,82.31,82.31,2026-07-24,87.45,83.0,6.2446847284655576,6.2446847284655576,6.2446847284655576,False,
ASIC,2026-07-24,20,False,Stopped,54.95,54.95,2026-07-27,60.4,49.46,9.918107370336662,9.918107370336662,9.918107370336662,True,
ASIC,2026-07-24,60,False,Stopped,54.95,54.95,2026-07-27,60.4,49.46,9.918107370336662,9.918107370336662,9.918107370336662,True,
MDTL,2026-07-24,20,False,Stopped,6.38,6.38,2026-07-27,6.85,6.1,7.366771159874605,7.366771159874605,7.366771159874605,True,
OML,2026-07-24,20,False,Stopped,173.26,173.26,2026-07-27,179.1,155.93,3.370656816345379,3.370656816345379,3.370656816345379,True,
OML,2026-07-24,60,False,Stopped,173.26,173.26,2026-07-27,179.1,155.93,3.370656816345379,3.370656816345379,3.370656816345379,True,
TPLI,2026-07-24,20,True,Stopped,89.24,89.24,2026-07-27,90.55,80.32,1.4679515912147045,1.4679515912147045,1.4679515912147045,True,
